nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.1,0.0373530
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.1,0.0385214
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.1,0.0397965
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.1,0.0422361
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.1,0.0467463
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.1,0.0547874
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.1,0.0691997
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,1, 0.0402067
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,1,0.0412675
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,1,0.0425233
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,1,0.0448341
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,1,0.0491750
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,1,0.0571011
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,1,0.0713880
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,2, 0.0434583
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,2,0.0445008
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,2,0.0457987
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,2,0.0481350
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,2,0.0524967
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,2,0.0603680
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,2,0.0745605
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,4, 0.0441485
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,4,0.0453899
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,4,0.0467682
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,4,0.0494225
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,4,0.0540542
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,4,0.0623528
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,4,0.0768661
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,8, 0.0379605
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,8,0.0392741
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,8,0.0407019
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,8,0.0438245
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,8,0.0489634
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,8,0.0583345
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,8,0.0750710
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,16, 0.0156717
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,16,0.0171490
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,16,0.0187800
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,16,0.0219366
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,16,0.0279282
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,16,0.0394676
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,16,0.0587565
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,32, -0.0401208
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,32,-0.0385007
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,32,-0.0367073
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,32,-0.0331547
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,32,-0.0262239
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,32,-0.0131332
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,32,0.0116323
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.1,0.0266515
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.1,0.0272942
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.1,0.0280952
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.1,0.0299487
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.1,0.0338588
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.1,0.0423579
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.1,0.0599818
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,1, 0.0276612
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,1,0.0283497
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,1,0.0291573
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,1,0.0310392
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,1,0.0348583
