nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0497117
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0509074
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0522157
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0547864
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0596554
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0682834
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0837785
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0517441
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0529203
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0542720
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0567247
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0614936
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0701190
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0855239
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0556301
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0567669
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0578893
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0603336
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0649671
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.0733522
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.0884567
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.0575783
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.0587385
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.0600135
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.0625016
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.0674269
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.0757775
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.0909031
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.0522980
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.0535316
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.0548881
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,8,0.0579306
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,8,0.0629257
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,8,0.0720922
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,8,0.0887479
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,16, 0.0302585
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,16,0.0316120
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,16,0.0331158
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,16,0.0360708
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,16,0.0416778
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,16,0.0528635
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,16,0.0712814
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,32, -0.0291253
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,32,-0.0276336
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,32,-0.0259684
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,32,-0.0226419
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,32,-0.0161319
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,32,-0.0037323
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,32,0.0184168
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0387401
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0397038
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,0.1,0.0404346
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,0.1,0.0421098
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,0.1,0.0456595
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,0.1,0.0538683
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,0.1,0.0710625
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,1, 0.0391872
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,1,0.0396548
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,1,0.0406312
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,1,0.0423614
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,1,0.0459767
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,1,0.0541115
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,1,0.0714763
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,2, 0.0436481
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,2,0.0442753
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,2,0.0449352
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,2,0.0464044
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,2,0.0497344
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,2,0.0572238
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,2,0.0738502
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,4, 0.0550865
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,4,0.0554837
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,4,0.0561534
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,4,0.0574956
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,4,0.0606793
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,4,0.0670432
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,4,0.0817603
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,8, 0.0772341
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,8,0.0777564
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,8,0.0783734
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,8,0.0801736
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,8,0.0825989
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,8,0.0882812
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,8,0.1013848
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,16, 0.1195474
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,16,0.1201357
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,16,0.1206703
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,16,0.1213660
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,16,0.1240379
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,16,0.1309992
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,16,0.1427850
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,32, 0.1985970
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,32,0.1995589
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,32,0.1995589
