nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0461002
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0472150
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0485653
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0510771
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0558991
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0643066
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0792963
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.5, 0.0490809
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.5,0.0501779
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.5,0.0514775
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.5,0.0540100
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.5,0.0586637
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.5,0.0670259
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.5,0.0819738
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0550797
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0561605
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0574719
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0599904
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0645917
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0727480
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0874468
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0623060
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0634168
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0647690
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0672467
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0719936
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.0803375
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.0952589
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.0693781
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.0705523
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.0719919
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.0747793
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.0799780
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.0892471
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.1055709
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.0737333
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.0750078
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.0765826
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,8,0.0796672
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,8,0.0857586
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,8,0.0966649
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,8,0.1148822
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,16, 0.0725138
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,16,0.0739138
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,16,0.0756555
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,16,0.0790709
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,16,0.0859571
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,16,0.0985014
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,16,0.1203325
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0306581
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0313191
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,0.1,0.0321841
