nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0617853
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0629999
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0644737
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0673150
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0725208
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0817411
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0978679
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0643570
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0655687
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0670363
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0698356
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0750079
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0841927
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,0.5,0.1003471
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,1, 0.0713400
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,1,0.0725072
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,1,0.0739211
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,1,0.0766277
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,1,0.0816492
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,1,0.0906013
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,1,0.1064727
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,2, 0.0814611
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,2,0.0826380
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,2,0.0840777
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,2,0.0868423
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,2,0.0919379
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,2,0.1009759
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,2,0.1168780
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,4, 0.0939570
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,4,0.0952433
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,4,0.0968188
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,4,0.0997884
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,4,0.1050391
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,4,0.1146928
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,4,0.1315152
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,8, 0.1071195
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,8,0.1084373
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,8,0.1104031
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,8,0.1135325
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,8,0.1194541
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,8,0.1302621
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,8,0.1492206
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,16, 0.1193041
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,16,0.1207816
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,16,0.1226428
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,16,0.1260234
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,16,0.1329021
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,16,0.1454026
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,16,0.1671316
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0396054
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0403172
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0412349
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0431452
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0471266
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0551291
0.850000,125.000000,1.01,1,0,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0723610
