nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0492184
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0503679
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0517567
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0545245
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0593617
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0679277
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0831910
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0521353
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0532995
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0546689
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0572707
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0620702
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0706300
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0858427
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,1, 0.0584110
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,1,0.0595469
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,1,0.0609309
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,1,0.0635147
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,1,0.0681928
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,1,0.0765437
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,1,0.0914435
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,2, 0.0662081
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,2,0.0671377
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,2,0.0685411
