nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0117189
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0115626
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0148601
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0096986
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0005714
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0289240
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1012541
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0080284
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0118697
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0112666
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0100969
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0037369
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0285206
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1008507
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0086119
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0084950
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0117970
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0147518
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0044210
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0239392
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0962713
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0059293
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0094409
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0128649
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0152649
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0096106
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0184184
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0832016
