nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0430584
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0437688
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0448320
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0468805
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0506576
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0575645
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0706638
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.25, 0.0478759
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.25,0.0485629
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.25,0.0496458
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.25,0.0516939
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.25,0.0554613
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.25,0.0623477
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.25,0.0754670
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.5, 0.0554729
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.5,0.0561685
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.5,0.0572829
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.5,0.0593374
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.5,0.0631305
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.5,0.0700335
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.5,0.0831323
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0658609
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0666114
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0678740
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0700704
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0739767
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0810856
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0943481
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0801175
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0809542
