nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0484315
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0493769
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0504793
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0525399
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0564058
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0634521
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0767358
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0536235
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0545431
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0556427
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0577148
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0615581
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0686296
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0818159
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,1, 0.0619894
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,1,0.0629084
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,1,0.0640598
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,1,0.0661081
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,1,0.0699048
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,1,0.0769403
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,1,0.0900345
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,2, 0.0731711
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,2,0.0741212
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,2,0.0752660
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,2,0.0774176
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,2,0.0813582
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,2,0.0885120
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,2,0.1017361
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,4, 0.0875264
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,4,0.0885756
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,4,0.0898417
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,4,0.0922373
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,4,0.0965812
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,4,0.1043643
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,4,0.1181761
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,8, 0.1056581
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,8,0.1068542
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,8,0.1083008
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,8,0.1110418
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,8,0.1160909
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,8,0.1251778
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,8,0.1404143
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,16, 0.1291708
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,16,0.1305183
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,16,0.1321657
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,16,0.1353499
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,16,0.1413125
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,16,0.1523617
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,16,0.1703319
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0165140
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0171715
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0180341
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0198958
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0238704
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0325568
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0515307
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0167652
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0173870
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0182709
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0200512
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0240969
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0326696
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0515305
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,1, 0.0184969
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,1,0.0191581
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,1,0.0199597
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,1,0.0216674
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,1,0.0254089
