nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,0.1,0.0048229
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,0.1,0.0061775
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,0.1,0.0075228
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,0.1,0.0097930
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,0.1,0.0136445
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,0.1,0.0199279
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,0.1,0.0321431
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,1, 0.0054342
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,1,0.0071437
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,1,0.0088000
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,1,0.0117366
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,1,0.0167283
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,1,0.0247613
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,1,0.0374982
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,2, 0.0059750
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,2,0.0080449
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,2,0.0099785
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,2,0.0136462
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,2,0.0198443
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,2,0.0304776
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,2,0.0469029
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,4, 0.0065528
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,4,0.0086881
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,4,0.0110695
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,4,0.0152596
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,4,0.0232422
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,4,0.0365097
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,4,0.0579140
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,8, 0.0072537
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,8,0.0100616
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,8,0.0123069
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,8,0.0170144
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,8,0.0260055
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,8,0.0424228
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,8,0.0702024
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,16, 0.0086733
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,16,0.0105550
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,16,0.0133466
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,16,0.0192867
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,16,0.0294708
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,16,0.0471713
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,16,0.0821668
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,32, 0.0107467
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,32,0.0135394
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,32,0.0152986
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,32,0.0213441
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,32,0.0334024
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,32,0.0517494
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,32,0.0911885
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,0.1,0.0091866
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,0.1,0.0100629
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,0.1,0.0110051
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,0.1,0.0127323
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,0.1,0.0159503
