nom_voltage,nom_temperature,nom_process,related_pin INOUT1,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,1.80418,0.0024771
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,1.80418,0.0037751
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,1.80418,0.0051087
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,1.80418,0.0075451
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,1.80418,0.0113420
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,1.80418,0.0169490
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,1.80418,0.0265293
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,2.70418, 0.0023629
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,2.70418,0.0035656
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,2.70418,0.0049647
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,2.70418,0.0076224
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,2.70418,0.0124730
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,2.70418,0.0201166
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,2.70418,0.0314189
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,3.70418, 0.0021752
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,3.70418,0.0032971
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,3.70418,0.0045307
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,3.70418,0.0071520
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,3.70418,0.0124927
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,3.70418,0.0220459
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,3.70418,0.0375292
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,5.70418, 0.0019728
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,5.70418,0.0030151
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,5.70418,0.0042023
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,5.70418,0.0065799
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,5.70418,0.0114859
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,5.70418,0.0219574
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,5.70418,0.0411164
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,9.70418, 0.0018660
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,9.70418,0.0030047
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,9.70418,0.0040548
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,9.70418,0.0062335
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,9.70418,0.0109962
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,9.70418,0.0207056
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,9.70418,0.0413602
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,17.7042, 0.0017306
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,17.7042,0.0029062
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,17.7042,0.0039958
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,17.7042,0.0066093
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,17.7042,0.0105080
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,17.7042,0.0190866
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,17.7042,0.0391303
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,33.7042, 0.0019763
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,33.7042,0.0029433
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,33.7042,0.0041326
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,33.7042,0.0066872
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,33.7042,0.0115170
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,33.7042,0.0199661
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,33.7042,0.0373392
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,1.80418,0.0167685
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,1.80418,0.0172871
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,1.80418,0.0178860
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,1.80418,0.0189693
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,1.80418,0.0215568
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,1.80418,0.0280659
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,1.80418,0.0435684
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,2.70418, 0.0318931
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,2.70418,0.0319284
