nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0272830
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0308826
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0380918
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0446296
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0535336
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0531035
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0510857
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0273632
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0344991
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0412081
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0503771
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0534757
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0475515
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0202623
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0239176
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0314523
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0378337
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0470950
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0499924
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0440685
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0137418
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0172978
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0244069
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0354695
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0444175
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0473149
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0374848
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0083868
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0119014
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0192396
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0300935
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0381090
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0458662
