nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0233096
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0231239
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0264171
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0214162
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0033337
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0406439
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1403177
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0234918
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0269456
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0217945
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0076877
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0363341
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1360088
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0241035
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0279391
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0274548
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0261771
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0082838
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0317907
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1314658
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0293662
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0329033
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0322810
