nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.1010271
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.1019170
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.1030067
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.1050416
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.1088058
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.1157320
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.1287371
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.5, 0.1032520
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.5,0.1041582
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.5,0.1052763
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.5,0.1073056
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.5,0.1110557
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.5,0.1179882
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.5,0.1309874
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,1, 0.1055668
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,1,0.1064769
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,1,0.1075587
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,1,0.1095933
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,1,0.1133629
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,1,0.1202874
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,1,0.1332946
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.1070561
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.1079479
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.1090369
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.1110721
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.1148337
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.1217529
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.1347562
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, 0.1054343
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.1063431
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.1074322
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.1094636
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.1132237
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.1201239
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.1331403
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8, 0.0957582
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.0966520
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.0977999
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.0997957
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.1035444
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.1104364
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.1234407
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,16, 0.0671250
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,16,0.0680420
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,16,0.0691961
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,16,0.0712229
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,16,0.0749765
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,16,0.0818611
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,16,0.0947851
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0163341
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0169682
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0178217
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0195653
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0234157
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0319499
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0505954
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.5, 0.0163368
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.5,0.0170156
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.5,0.0178263
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.5,0.0196040
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.5,0.0234491
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.5,0.0319236
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.5,0.0506343
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,1, 0.0163678
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,1,0.0169943
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,1,0.0178315
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,1,0.0195332
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,1,0.0234522
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,1,0.0319535
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,1,0.0506446
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,2, 0.0163830
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,2,0.0170220
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,2,0.0178718
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,2,0.0196068
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,2,0.0234381
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,2,0.0319193
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,2,0.0507692
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,4, 0.0164874
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,4,0.0171493
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,4,0.0179830
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,4,0.0196818
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,4,0.0235129
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,4,0.0319909
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,4,0.0506691
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,8, 0.0168894
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,8,0.0175017
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,8,0.0182926
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,8,0.0200839
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,8,0.0238462
