nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0039117
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0077063
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0070207
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0057919
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0083843
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0406431
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1129733
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0040642
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0082100
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0074735
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0061950
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0079819
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0402391
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1125686
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0007209
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0042421
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0077372
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0067227
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0033424
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0356536
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1040794
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0020230
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0055127
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0085807
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0121186
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0060345
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0223328
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0909982
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0006071
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0041485
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0073226
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0103614
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0111397
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0084658
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.0770273
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0101356
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0065615
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0007660
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0105303
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0159403
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0113975
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.0449864
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0198365
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0162417
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0129021
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0025638
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0102990
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0059239
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.0664062
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0039067
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0077088
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0186662
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0292247
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0460100
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0606635
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0784330
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0002027
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0082112
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0152699
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0296681
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0426038
