nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0039119
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0077063
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0070207
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0018857
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0122906
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0484557
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1246920
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0002014
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0038851
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0074734
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0022555
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0081775
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0443425
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1205789
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0007210
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0042421
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0041117
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0067281
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0072999
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0395610
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1118929
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0018832
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0015070
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0050967
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0041088
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0021021
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0304432
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0988097
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0072382
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0036644
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0002565
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0024575
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0079465
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0201929
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.0844326
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0179480
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0143743
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0070421
