nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0039559
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0040598
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0085937
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0137394
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0357281
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0836119
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1832858
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0076354
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0078205
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0083192
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0134256
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0353001
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0832090
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1789760
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0109726
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0074946
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0076687
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0129018
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0307420
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0746795
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1704868
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0136020
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0099023
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0065842
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0122565
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0215720
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0655438
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1571746
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0189569
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0155608
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0119770
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0132023
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0195312
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0551340
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1473487
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0257605
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0221733
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0148404
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0088242
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0073933
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.0235526
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.0951693
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0276490
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0240564
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0207003
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0104364
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.0127123
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.0214199
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.0613645
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,0.0000000e+00
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0036246
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0109269
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0214169
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0306781
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0374818
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0471829
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, 0.0036843
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0038802
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0113751
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0216238
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0308850
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0415950
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0475874
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 0.0070177
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0005481
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0117958
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0224081
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0356527
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0461506
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.0599777
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, 0.0057890
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,-0.0015342
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0132626
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0274200
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0408412
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.0594433
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.0772228
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, 0.0033314
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,-0.0041721
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,-0.0152624
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0329642
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0507046
