nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0039530
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0040601
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0007267
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0059287
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0201049
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0640823
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1598500
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0076355
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0078027
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0044007
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0094463
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0236142
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0675922
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1633598
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0148446
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0151683
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0116147
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0129507
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0271238
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0705424
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1707752
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0252124
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0218706
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0223037
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0194297
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0337075
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0776851
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1773590
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0420247
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0388102
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0353784
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0329949
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0382990
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0908526
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1944327
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0643864
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0651593
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0617491
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0593521
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0737984
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.1209168
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.2441695
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.1017861
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0982162
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0948319
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0962817
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.1303977
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.2011074
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.3437500
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0039144
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0115615
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0146587
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0252384
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0345427
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0452926
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0549937
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0040638
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0082082
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0152687
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0256070
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0349710
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0495925
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0671061
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0007403
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0042413
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0159485
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0263148
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0395698
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0578049
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.0792248
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, 0.0057889
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,0.0022524
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0132322
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0270093
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0492092
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.0668462
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.1038910
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, 0.0189564
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,0.0114570
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,0.0004195
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0172973
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0546088
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,-0.0894331
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,-0.1421840
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, 0.0531038
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,0.0456243
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,0.0305905
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,0.0043501
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,-0.0304493
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,-0.0769490
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,-0.1659511
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, 0.0978529
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,0.0942793
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,0.0791516
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,0.0532295
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,0.0096998
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,-0.0558165
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,-0.1612967
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0160000,0.0508359
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0160000,0.0396700
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0160000,0.0163751
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0160000,-0.0171793
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0160000,-0.0652009
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0160000,-0.1065503
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0160000,-0.1111255
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0320000, 0.0582727
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0320000,0.0466485
