nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0000000e+00
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0036314
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0031451
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0057900
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0044800
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0328323
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1012564
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0036780
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,1.6543612e-15
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0005137
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0023306
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0079868
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0363399
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1086705
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0109246
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0074921
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0041230
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0052132
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0114871
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0398514
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1121815
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0214145
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0178447
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0150079
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0123751
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0180825
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0503413
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1226715
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0345115
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0310119
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0275730
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0253017
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0314142
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0596026
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1436514
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0568768
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0534404
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0500129
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0476495
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0503241
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.0818569
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.1856114
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0862427
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0865790
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0831904
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0807069
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.0991867
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.1542324
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.2773438
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,0.0000000e+00
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0036313
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0070189
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0134935
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0189576
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0179488
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0081186
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, 0.0036806
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,1.6543612e-15
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0074625
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0139980
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0193535
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0183445
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0124204
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 0.0070177
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,0.0033856
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0082676
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0149423
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0239679
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0268598
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.0245373
