nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0000000e+00
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0036314
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0031451
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0057900
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0044800
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0328323
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1012563
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0036780
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,1.6543612e-15
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0005136
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0023306
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0079865
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0363396
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1047640
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0109246
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0074921
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0041229
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0052133
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0114870
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0398514
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1082752
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0214145
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0178447
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0150088
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0123752
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0138623
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0425288
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1109527
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0345115
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0310119
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0275729
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0213056
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0273438
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0556963
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1319327
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0568768
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0534404
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0500132
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0476496
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0503237
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.0818574
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.1738926
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0979601
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0943915
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0910098
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0885049
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.1030949
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.1464199
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.2773438
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0039145
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0077065
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0109251
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0213666
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0267701
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0296675
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0237436
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0002014
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0038841
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0113609
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0179029
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0273564
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0300630
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0319515
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 0.0070177
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0005451
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0082676
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0183368
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0278646
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0346635
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.0401623
