nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0078723
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0040599
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0047110
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0098351
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0279175
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0718950
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1676627
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0114604
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0078000
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0083224
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0093918
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0275204
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0714985
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1711724
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0186945
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0151622
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0157189
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0163602
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0310300
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0750076
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1707752
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0252115
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0257324
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0223024
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0194057
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0337075
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0737788
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1734527
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0382555
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0388088
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0354387
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0329937
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0382974
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0785384
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1788077
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0643872
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0612528
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0578576
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0554946
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0654063
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.1131860
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.2129551
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0978172
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0942471
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0908794
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0924627
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.1186743
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.1854824
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.3281250
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,0.0000000e+00
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0036300
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0109250
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0134911
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0189575
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0218549
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0159310
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, 0.0036808
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,1.6543612e-15
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0074583
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0139938
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0233431
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0261529
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0241352
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 0.0070177
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,0.0033855
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0082675
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0149068
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0239666
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0307668
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.0323498
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, 0.0136014
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,0.0060921
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0051550
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0156721
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0335922
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.0438746
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.0570160
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, 0.0267689
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,0.0191999
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,0.0081213
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0098025
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0304997
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,-0.0582521
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,-0.0829111
