nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0039529
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0040602
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0007230
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0059288
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0240112
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0679887
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1598501
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0076355
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0078016
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0043996
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0093636
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0275253
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0675969
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1633645
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0148303
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0151658
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0116091
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0129678
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0310300
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0710955
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1707752
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0252112
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0217988
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0223029
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0233775
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0337075
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0776851
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1773590
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0382556
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0388100
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0354243
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0329941
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0382953
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0908526
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1983389
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0606279
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0573470
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0578511
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0593861
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0771162
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,0.1288135
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.2598301
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0938344
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0902647
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0907255
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0846247
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.1102548
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.1893886
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.3398437
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0117218
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0191691
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0264588
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0370197
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0536826
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0758152
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.1091641
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0119745
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0157285
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0267033
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0373600
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0542621
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0803221
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.1175025
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0086127
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0121839
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0233675
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0380828
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0591038
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0854225
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.1378638
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, -0.0059298
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,-0.0094819
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0201992
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0435101
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0679961
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.1023738
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.1590288
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, 0.0033314
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,-0.0041762
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,-0.0152554
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0375819
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0701386
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,-0.1204397
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,-0.1969072
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, 0.0257601
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,0.0182646
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,0.0032048
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,-0.0215856
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,-0.0663231
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,-0.1319104
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,-0.2323574
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, 0.0704101
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,0.0668965
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,0.0480494
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,0.0219297
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,-0.0290921
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,-0.1302734
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,-0.2578125
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0160000,0.0468821
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0160000,0.0354432
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0160000,0.0124514
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0160000,-0.0211261
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0160000,-0.0691062
