nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0039119
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0036268
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0031473
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0020207
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0161969
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0523620
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1325046
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0002015
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0038850
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0034597
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0015467
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0158008
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0519621
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1281979
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0007176
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0005452
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0041123
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0029257
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0113580
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0434665
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1197050
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0018832
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0015057
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0012265
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0040786
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0022344
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0343580
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1027199
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0072382
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0035386
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0032772
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0063869
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0079380
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0201454
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.0848427
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0140418
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0104680
