nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0373209
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0385147
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0396687
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0418321
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0457990
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0529643
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0572250
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8,  0.0420869
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.0432730
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.0444081
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.0465381
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.0504415
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.0575735
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.0617569
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,16,  0.0496086
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,16,0.0508420
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,16,0.0520018
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,16,0.0542104
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,16,0.0580972
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,16,0.0651436
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,16,0.0692945
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,32,  0.0601943
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,32,0.0614919
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,32,0.0627357
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,32,0.0650541
