nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,0.1,0.0065321
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,0.1,0.0077216
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,0.1,0.0089883
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,0.1,0.0111730
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,0.1,0.0149173
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,0.1,0.0212053
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,0.1,0.0337780
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,1, 0.0083558
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,1,0.0097634
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,1,0.0112752
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,1,0.0139992
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,1,0.0188072
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,1,0.0266306
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,1,0.0394304
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,2, 0.0111070
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,2,0.0128469
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,2,0.0146584
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,2,0.0180747
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,2,0.0240213
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,2,0.0339339
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,2,0.0500192
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,4, 0.0159485
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,4,0.0180799
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,4,0.0199716
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,4,0.0239961
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,4,0.0314539
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,4,0.0438007
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,4,0.0639072
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,8, 0.0252683
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,8,0.0273118
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,8,0.0295438
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,8,0.0342216
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,8,0.0429661
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,8,0.0574805
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,8,0.0832224
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,16, 0.0444009
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,16,0.0468401
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,16,0.0489113
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,16,0.0534284
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,16,0.0617811
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,16,0.0791914
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,16,0.1097721
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.016,32, 0.0815996
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.032,32,0.0841184
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.064,32,0.0860100
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.128,32,0.0909821
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.256,32,0.1004646
0.850000,125.000000,1.01,1,1,1,1,0,0,0,0.512,32,0.1178559
0.850000,125.000000,1.01,1,1,1,1,0,0,0,1.024,32,0.1522002
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,0.1,0.0098453
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,0.1,0.0106742
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,0.1,0.0115938
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,0.1,0.0132439
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,0.1,0.0166768
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,0.1,0.0256241
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,0.1,0.0451136
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,1, 0.0173173
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,1,0.0182205
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,1,0.0191604
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,1,0.0211038
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,1,0.0246364
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,1,0.0312880
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,1,0.0482470
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,2, 0.0320680
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,2,0.0330533
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,2,0.0341612
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,2,0.0361140
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,2,0.0400504
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,2,0.0474041
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,2,0.0605683
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,4, 0.0616123
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,4,0.0625817
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,4,0.0634160
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,4,0.0657613
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,4,0.0699356
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,4,0.0779770
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,4,0.0928839
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,8, 0.1214905
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,8,0.1223346
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,8,0.1232944
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,8,0.1241187
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,8,0.1282525
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,8,0.1377065
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,8,0.1535092
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,16, 0.2441630
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,16,0.2441630
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,16,0.2441630
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,16,0.2441630
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,16,0.2474780
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,16,0.2546269
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,16,0.2726163
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.016,32, 0.4822442
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.032,32,0.4832924
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.064,32,0.4832924
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.128,32,0.4833544
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.256,32,0.4860493
0.850000,125.000000,1.01,1,1,1,0,1,0,0,0.512,32,0.4918592
0.850000,125.000000,1.01,1,1,1,0,1,0,0,1.024,32,0.5084458
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,0.1,0.0049330
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,0.1,0.0063511
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,0.1,0.0078109
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,0.1,0.0104268
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,0.1,0.0149301
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,0.1,0.0225927
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,0.1,0.0380765
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,1, 0.0042062
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,1,0.0059713
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,1,0.0077129
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,1,0.0108872
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,1,0.0163969
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,1,0.0257728
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,1,0.0414138
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,2, 0.0021292
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,2,0.0040786
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,2,0.0061270
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,2,0.0099896
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,2,0.0167014
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,2,0.0283203
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,2,0.0475917
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,4, -0.0025598
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,4,-0.0004165
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,4,0.0018626
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,4,0.0062393
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,4,0.0143658
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,4,0.0286174
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,4,0.0520850
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,8, -0.0115406
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,8,-0.0095785
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,8,-0.0074321
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,8,-0.0028008
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,8,0.0063259
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,8,0.0231257
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,8,0.0517796
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,16, -0.0300141
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,16,-0.0282234
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,16,-0.0258586
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,16,-0.0213100
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,16,-0.0119322
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,16,0.0062732
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,16,0.0401770
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,32, -0.0671676
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,32,-0.0651971
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,32,-0.0631003
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,32,-0.0579607
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,32,-0.0498228
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,32,-0.0302579
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,32,0.0062018
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,0.1,0.0094997
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,0.1,0.0107156
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,0.1,0.0120290
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,0.1,0.0145018
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,0.1,0.0192976
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,0.1,0.0302050
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,0.1,0.0542094
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,1, 0.0156572
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,1,0.0169515
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,1,0.0183374
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,1,0.0210120
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,1,0.0259914
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,1,0.0356328
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,1,0.0570912
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,2, 0.0283920
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,2,0.0293608
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,2,0.0306561
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,2,0.0334408
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,2,0.0388550
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,2,0.0489943
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,2,0.0682388
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,4, 0.0550997
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,4,0.0552742
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,4,0.0562880
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,4,0.0585454
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,4,0.0636054
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,4,0.0745925
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,4,0.0949874
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,8, 0.1086777
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,8,0.1086777
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,8,0.1093437
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,8,0.1105923
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,8,0.1146069
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,8,0.1244091
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,8,0.1459298
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,16, 0.2161843
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,16,0.2172129
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,16,0.2172129
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,16,0.2172129
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,16,0.2203207
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,16,0.2269151
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,16,0.2458026
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,32, 0.4360681
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,32,0.4360681
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,32,0.4360681
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,32,0.4360681
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,32,0.4360681
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,32,0.4401082
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,32,0.4510733
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,0.1,0.0224511
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,0.1,0.0256684
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,0.1,0.0292181
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,0.1,0.0362719
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,0.1,0.0501233
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,0.1,0.0776915
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,0.1,0.1327582
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,1, 0.0341393
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,1,0.0371672
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,1,0.0406191
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,1,0.0474310
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,1,0.0612077
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,1,0.0886290
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,1,0.1436976
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,2, 0.0543461
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,2,0.0590809
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,2,0.0635016
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,2,0.0706423
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,2,0.0840919
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,2,0.1112354
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,2,0.1658082
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,4, 0.0877558
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,4,0.0952022
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,4,0.1019777
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,4,0.1133721
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,4,0.1303842
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,4,0.1572878
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,4,0.2109483
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,8, 0.1430914
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,8,0.1548612
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,8,0.1659917
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,8,0.1837878
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,8,0.2102065
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,8,0.2483301
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,8,0.3033079
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,16, 0.2325856
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,16,0.2528212
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,16,0.2707052
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,16,0.3001064
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,16,0.3429474
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,16,0.4027159
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,16,0.4841761
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.016,32, 0.3741857
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.032,32,0.4098813
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.064,32,0.4414836
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.128,32,0.4911163
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.256,32,0.5608458
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,0.512,32,0.6578678
0.750000,-40.000000,0.99,1,1,1,1,0,0,0,1.024,32,0.7853980
