nom_voltage,nom_temperature,nom_process,related_pin D,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0601900
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0614802
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0628740
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0657287
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0708683
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0799886
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0961931
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.0627294
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.0641027
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.0655197
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.0682251
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.0732770
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.0824435
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.0986424
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, 0.0688019
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.0701229
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.0714855
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.0741040
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.0789272
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.0878783
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.1037334
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8, 0.0753398
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.0766722
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.0780410
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.0806854
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.0856396
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.0943045
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.1102407
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,16, 0.0773239
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,16,0.0787206
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,16,0.0801612
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,16,0.0829628
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,16,0.0882431
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,16,0.0977858
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,16,0.1146169
