nom_voltage,nom_temperature,nom_process,related_pin D,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0586482
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0598166
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0610472
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0633857
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0677239
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0755409
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0896570
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,1, 0.0601455
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,1,0.0613212
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,1,0.0625736
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,1,0.0649067
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,1,0.0692255
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,1,0.0770341
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,1,0.0911060
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.0615527
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.0627094
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.0639364
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.0662750
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.0705451
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.0783241
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.0924012
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, 0.0621145
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.0632815
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.0645015
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.0668039
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.0710736
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.0787816
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.0928195
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8, 0.0596500
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.0608475
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.0621379
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.0644312
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.0686348
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.0762940
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.0902096
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,16, 0.0495233
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,16,0.0507125
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,16,0.0519766
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,16,0.0543617
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,16,0.0588679
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,16,0.0665306
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,16,0.0804677
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,32, 0.0206860
