nom_voltage,nom_temperature,nom_process,related_pin D,related_pin ISO,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.1,0.0341504
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.1,0.0353601
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.1,0.0365845
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.1,0.0389092
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.1,0.0432345
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.1,0.0509080
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.1,0.0648699
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,2, 0.0382969
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,2,0.0394728
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,2,0.0406620
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,2,0.0429212
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,2,0.0470574
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,2,0.0545784
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,2,0.0683316
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,4, 0.0447363
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,4,0.0459486
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,4,0.0471805
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,4,0.0495472
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,4,0.0538021
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,4,0.0615157
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,4,0.0751577
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,8, 0.0524513
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,8,0.0537444
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,8,0.0550930
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,8,0.0576753
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,8,0.0624902
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,8,0.0709454
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,8,0.0855178
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,16, 0.0611286
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,16,0.0625631
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,16,0.0644334
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,16,0.0672552
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,16,0.0726186
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,16,0.0824224
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,16,0.0997131
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,32, 0.0697863
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,32,0.0714048
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,32,0.0730924
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,32,0.0764157
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,32,0.0831384
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,32,0.0948682
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,32,0.1154348
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,64, 0.0793521
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,64,0.0811469
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,64,0.0830183
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,64,0.0867153
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,64,0.0939241
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,64,0.1088238
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,64,0.1334286
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.1,0.0226775
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.1,0.0233923
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.1,0.0242730
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.1,0.0260924
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.1,0.0299198
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.1,0.0382915
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.1,0.0560215
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,2, 0.0240401
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,2,0.0246900
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,2,0.0254610
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,2,0.0271752
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,2,0.0308461
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,2,0.0389470
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,2,0.0565975
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,4, 0.0312110
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,4,0.0319063
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,4,0.0325416
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,4,0.0338580
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,4,0.0368277
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,4,0.0437819
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,4,0.0599698
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,8, 0.0450812
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,8,0.0453926
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,8,0.0459555
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,8,0.0474093
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,8,0.0507377
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,8,0.0565999
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,8,0.0711706
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,16, 0.0707551
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,16,0.0714190
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,16,0.0727083
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,16,0.0740319
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,16,0.0766161
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,16,0.0829388
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,16,0.0968593
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,32, 0.1203160
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,32,0.1207914
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,32,0.1215001
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,32,0.1227065
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,32,0.1260319
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,32,0.1327022
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,32,0.1469176
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,64, 0.2153049
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,64,0.2160857
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,64,0.2169023
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,64,0.2184998
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,64,0.2225792
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,64,0.2305185
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,64,0.2454048
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,0.1,0.0282502
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,0.1,0.0295474
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,0.1,0.0308926
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,0.1,0.0334358
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,0.1,0.0381748
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,0.1,0.0468348
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,0.1,0.0628021
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,2, 0.0325644
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,2,0.0338540
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,2,0.0351744
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,2,0.0376436
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,2,0.0422319
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,2,0.0506501
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,2,0.0663951
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,4, 0.0385210
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,4,0.0398574
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,4,0.0412302
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,4,0.0438967
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,4,0.0487756
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,4,0.0575809
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,4,0.0733327
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,8, 0.0454953
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,8,0.0469463
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,8,0.0484801
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,8,0.0513009
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,8,0.0567555
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,8,0.0668299
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,8,0.0839314
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,16, 0.0527847
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,16,0.0543655
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,16,0.0560115
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,16,0.0591464
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,16,0.0653900
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,16,0.0766381
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,16,0.0965400
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,32, 0.0587108
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,32,0.0604507
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,32,0.0622778
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,32,0.0658963
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,32,0.0727296
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,32,0.0861811
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,32,0.1091952
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.016,64, 0.0608334
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.032,64,0.0627875
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.064,64,0.0642598
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.128,64,0.0681684
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.256,64,0.0757970
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,0.512,64,0.0905361
0.850000,125.000000,1.01,1,0,1,1,0,0,1,0,1.024,64,0.1188115
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,0.1,0.0181641
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,0.1,0.0188902
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,0.1,0.0197608
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,0.1,0.0218275
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,0.1,0.0265392
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,0.1,0.0370682
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,0.1,0.0600727
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,2, 0.0205010
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,2,0.0211861
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,2,0.0219073
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,2,0.0238138
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,2,0.0280707
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,2,0.0380934
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,2,0.0605920
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,4, 0.0285742
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,4,0.0291148
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,4,0.0298825
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,4,0.0313875
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,4,0.0350486
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,4,0.0435382
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,4,0.0640016
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,8, 0.0429547
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,8,0.0436195
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,8,0.0441865
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,8,0.0455862
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,8,0.0488751
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,8,0.0567221
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,8,0.0746763
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,16, 0.0691306
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,16,0.0697752
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,16,0.0705179
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,16,0.0721492
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,16,0.0750378
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,16,0.0831831
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,16,0.0994617
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,32, 0.1175196
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,32,0.1179911
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,32,0.1184726
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,32,0.1198056
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,32,0.1233537
