nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0273131
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0310304
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0339869
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0404110
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0419847
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0413859
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0276496
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0273275
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0304474
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0372872
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0388607
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0378537
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0241172
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0204152
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0239353
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0274535
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0300212
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0353762
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0344516
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0167349
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0138229
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0174412
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0205547
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0270654
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0287547
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0277837
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0101410
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0045616
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0081399
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0111252
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0178732
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0272361
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0222989
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0047861
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0139609
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0103826
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0073368
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0061119
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0196786
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0230060
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0058046
