nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0353863
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0347820
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0378308
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0441965
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0457524
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0413855
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0237430
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0315712
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0312034
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0342353
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0410131
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0427769
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0378586
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0202161
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0243194
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0279417
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0313722
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0339564
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0353762
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0344892
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0167248
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0177286
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0212905
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0246182
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0270666
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0326987
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0277837
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0062348
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0084683
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0120460
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0150282
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0255520
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0272266
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0222899
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.0030264
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0061480
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0064766
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0004724
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0102102
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0197228
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0190390
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.0059239
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0431930
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0396152
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0326672
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0183878
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.0009578
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0088654
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,4.0000000e-12
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0353051
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0386470
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0501805
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0604768
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0775505
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.1000160
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.1357203
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0314541
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0350395
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0462587
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0604764
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0731823
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0964525
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.1326167
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0281044
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0357706
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0429728
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0576434
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0742051
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0928054
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.1260998
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, -0.0293669
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,-0.0328835
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0401485
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0549034
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0756675
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.0941899
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.1273285
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, -0.0240119
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,-0.0275906
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,-0.0388341
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0529971
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0742282
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,-0.1044599
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,-0.1336923
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, -0.0133020
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,-0.0168706
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,-0.0320316
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,-0.0498741
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,-0.0752594
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,-0.1093750
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,-0.1503261
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, 0.0120241
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,0.0084668
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,-0.0067083
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,-0.0289039
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,-0.0694327
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,-0.1192051
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,-0.1669665
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0160000,-0.2031248
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0160000,-0.2103736
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0160000,-0.2335150
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0160000,-0.2710931
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0160000,-0.3425520
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0160000,-0.4740985
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0160000,-0.6911114
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0320000, -0.1918250
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0320000,-0.2029801
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0320000,-0.2222153
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0320000,-0.2595819
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0320000,-0.3312593
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0320000,-0.4667050
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0320000,-0.6798315
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0640000, -0.1687870
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0640000,-0.1760481
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0640000,-0.1992696
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0640000,-0.2372320
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0640000,-0.3082746
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0640000,-0.4436801
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0640000,-0.6567839
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.1280000, -0.1193347
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.1280000,-0.1308873
