nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0353862
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0387299
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0418243
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0444384
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0534229
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0531043
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0432742
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0315694
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0312035
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0381388
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0410563
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0466055
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0495791
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0397488
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0243187
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0279408
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0313689
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0378337
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0433246
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0421853
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0362560
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0177285
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0212911
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0246189
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0353925
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0368963
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0355962
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0257660
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0084682
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0120461
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0150299
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0256151
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0307204
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0302412
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0165048
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0100543
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0064764
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0004756
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0101953
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0234928
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0267045
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0137962
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0470993
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0435213
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0365712
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0222879
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0024377
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0166382
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,-0.0161902
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0312348
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0386336
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0461347
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0565706
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0736719
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0921667
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.1213991
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0314385
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0350330
