nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0353863
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0387298
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0418237
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0481888
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0495399
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0484148
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0276492
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0315712
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0350892
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0381380
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0410124
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0466046
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0448457
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0241223
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0282218
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0279418
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0313723
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0378337
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0392825
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0382736
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0206310
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0216421
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0212906
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0246185
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0309613
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0368298
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0316899
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0101410
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0084683
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0120460
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0150283
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0255519
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0272267
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0263349
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0008798
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0061480
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0025703
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0004725
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0102009
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0197221
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0233119
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,0.0020176
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0392867
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0348973
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0287607
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0144849
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0024825
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0127741
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,4.0000000e-12
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0353051
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0425352
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0501803
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0643831
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0814568
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.1038855
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.1448366
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0354404
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0389038
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0502388
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0604759
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0779274
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.1042650
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.1402079
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0321729
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0357706
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0468920
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0612552
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0742050
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0965238
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.1338274
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, -0.0293669
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,-0.0328836
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0440848
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0588063
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0756675
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.0980962
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.1312348
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, -0.0240119
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,-0.0314975
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,-0.0388343
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0571450
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0781381
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,-0.1044599
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,-0.1375986
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, -0.0172082
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,-0.0207779
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,-0.0320318
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,-0.0498736
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,-0.0783744
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,-0.1171875
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,-0.1505061
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, 0.0120241
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,0.0045616
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,-0.0067015
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,-0.0289029
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,-0.0694327
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,-0.1192051
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,-0.1754028
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0160000,-0.2187497
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0160000,-0.2262639
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0160000,-0.2491399
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0160000,-0.2867247
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0160000,-0.3581842
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0160000,-0.4897250
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0160000,-0.7065497
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0320000, -0.2074775
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0320000,-0.2188755
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0320000,-0.2379094
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0320000,-0.2754185
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0320000,-0.3468839
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0320000,-0.4784254
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0320000,-0.6952500
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0640000, -0.1844228
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0640000,-0.1958449
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0640000,-0.2151411
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0640000,-0.2524166
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0640000,-0.3238951
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0640000,-0.4554214
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0640000,-0.6722249
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.1280000, -0.1393735
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.1280000,-0.1467808
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.1280000,-0.1652563
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.1280000,-0.2030587
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.1280000,-0.2781704
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.1280000,-0.4143796
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.1280000,-0.6268551
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.2560000, -0.0474504
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.2560000,-0.0549646
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.2560000,-0.0739277
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.2560000,-0.1116996
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.2560000,-0.1876558
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.2560000,-0.3223320
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.2560000,-0.5397785
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.5120000, 0.0987532
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.5120000,0.0873328
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.5120000,0.0682642
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.5120000,0.0320098
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.5120000,-0.0395556
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.5120000,-0.1715762
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.5120000,-0.3885007
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,1.0240000, 0.3260046
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,1.0240000,0.3145843
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,1.0240000,0.2917080
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,1.0240000,0.2502237
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,1.0240000,0.1811894
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,1.0240000,0.0540189
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,1.0240000,-0.1591915
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0160000,-0.2539053
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0160000,-0.2652561
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0160000,-0.2882715
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0160000,-0.3337597
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0160000,-0.4246929
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0160000,-0.6143818
