nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0353036
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0386306
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0419674
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0522661
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0612250
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0721149
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0901489
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0314833
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0350191
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0383354
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0449238
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0579881
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0690140
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0827234
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0241677
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0279340
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0352705
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0417400
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0511001
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0617111
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0792248
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0176256
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0213418
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0245166
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0349480
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0405112
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0551274
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0687348
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0044801
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0080605
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0153810
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0216392
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0352893
