nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0272714
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0309223
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0380978
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0446272
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0535812
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0644203
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0706178
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0273647
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0345060
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0412128
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0503956
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0612942
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0670888
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0202786
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0239186
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0314512
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0378337
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0470950
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0578049
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0629599
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0137430
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0172948
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0244115
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0309281
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0405112
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0512212
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0609223
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0044798
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0080151
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0153428
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0260109
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0385522
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0497724
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0555673
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0101363
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0065756
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0007449
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0151447
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0351207
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0468821
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0526699
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0432748
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0349857
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0284880
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0101710
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0140627
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0442897
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,-0.0622456
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0272671
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0347023
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0420420
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0483548
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0572366
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0643727
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0745238
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0276020
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0311955
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0384064
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0488718
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0578963
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0652010
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0709960
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0241512
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0279353
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0352280
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0456462
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0549120
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0617111
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.0675060
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, -0.0214876
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,-0.0289630
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0361459
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0468404
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0561967
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.0629399
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.0687348
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, -0.0201129
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,-0.0236827
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,-0.0309274
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0449222
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0583726
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,-0.0652984
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,-0.0750986
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, -0.0094028
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,-0.0168799
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,-0.0241067
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,-0.0386226
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,-0.0556963
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,-0.0769049
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,-0.0878348
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, 0.0156525
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,0.0084484
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,0.0011349
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,-0.0211090
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,-0.0499014
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,-0.0840489
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,-0.1054688
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0160000,-0.1210942
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0160000,-0.1324149
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0160000,-0.1515015
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0160000,-0.1891389
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0160000,-0.2605078
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0160000,-0.3956037
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0160000,-0.6052245
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0320000, -0.1095646
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0320000,-0.1208787
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0320000,-0.1399750
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0320000,-0.1777002
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0320000,-0.2490002
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0320000,-0.3842977
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0320000,-0.5935122
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0640000, -0.0867750
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0640000,-0.0943009
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0640000,-0.1136948
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0640000,-0.1508920
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0640000,-0.2261911
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0640000,-0.3612858
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0640000,-0.5707204
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.1280000, -0.0371812
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.1280000,-0.0483808
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.1280000,-0.0676350
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.1280000,-0.1051513
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.1280000,-0.1769128
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.1280000,-0.3195032
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.1280000,-0.5292761
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.2560000, 0.0417561
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.2560000,0.0343201
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.2560000,0.0161708
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.2560000,-0.0225423
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.2560000,-0.0942430
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.2560000,-0.2329923
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.2560000,-0.4460395
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.5120000, 0.1729458
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.5120000,0.1616006
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.5120000,0.1425383
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.5120000,0.1092517
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.5120000,0.0387247
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.5120000,-0.0948178
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.5120000,-0.2994485
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,1.0240000, 0.3923588
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,1.0240000,0.3809928
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,1.0240000,0.3619505
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,1.0240000,0.3165856
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,1.0240000,0.2406594
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,1.0240000,0.1182420
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,1.0240000,-0.0843500
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0160000,-0.2070305
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0160000,-0.2183704
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0160000,-0.2374227
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0160000,-0.2828132
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0160000,-0.3699908
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0160000,-0.5517564
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0160000,-0.8846933
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0320000, -0.1996368
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0320000,-0.2109946
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0320000,-0.2300290
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0320000,-0.2715377
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0320000,-0.3583813
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0320000,-0.5443482
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0320000,-0.8772996
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0640000, -0.1805198
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0640000,-0.1918321
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0640000,-0.2153910
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0640000,-0.2562894
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0640000,-0.3433865
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0640000,-0.5292666
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0640000,-0.8581829
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.1280000, -0.1624704
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.1280000,-0.1739260
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.1280000,-0.1928246
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.1280000,-0.2344533
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.1280000,-0.3211799
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.1280000,-0.5034352
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.1280000,-0.8323460
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.2560000, -0.1333370
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.2560000,-0.1450389
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.2560000,-0.1636406
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.2560000,-0.2052641
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.2560000,-0.2884424
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.2560000,-0.4715887
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.2560000,-0.7837613
