nom_voltage,nom_temperature,nom_process,related_pin RIN,timing_type non_seq_setup_falling,timing_type non_seq_hold_rising,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,1.7773191
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,1.7691063
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,1.7450389
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,1.7047707
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,1.6163372
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,1.4423716
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,1.0913499
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, 1.7893841
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,1.7772651
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,1.7571040
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,1.7129295
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,1.6284022
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,1.4544367
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,1.1032485
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, 1.8094509
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,1.7973319
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,1.7771709
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,1.7329963
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,1.6484690
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,1.4744610
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,1.1236787
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, 1.8499717
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,1.8417590
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,1.8176916
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,1.7735171
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,1.6889898
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,1.5148954
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,1.1644140
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, 1.9308561
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,1.9226436
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,1.8982489
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,1.8583078
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,1.7698744
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,1.5956017
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,1.2487404
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, 2.0967423
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,2.0858386
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,2.0642479
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,2.0200734
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,1.9316400
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,1.7641366
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,1.4096728
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, 2.4278091
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,2.4190452
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,2.3955895
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,2.3472255
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,2.2679025
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,2.0959192
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,1.7446206
0.850000,125.000000,1.01,1,0,1,1,0.0160000,0.0160000,-1.8203101
0.850000,125.000000,1.01,1,0,1,1,0.0320000,0.0160000,-1.8122097
0.850000,125.000000,1.01,1,0,1,1,0.0640000,0.0160000,-1.7880778
0.850000,125.000000,1.01,1,0,1,1,0.1280000,0.0160000,-1.7471329
0.850000,125.000000,1.01,1,0,1,1,0.2560000,0.0160000,-1.6621141
0.850000,125.000000,1.01,1,0,1,1,0.5120000,0.0160000,-1.4872977
0.850000,125.000000,1.01,1,0,1,1,1.0240000,0.0160000,-1.1404724
0.850000,125.000000,1.01,1,0,1,1,0.0160000,0.0320000, -1.8322560
0.850000,125.000000,1.01,1,0,1,1,0.0320000,0.0320000,-1.8202494
0.850000,125.000000,1.01,1,0,1,1,0.0640000,0.0320000,-1.8000237
0.850000,125.000000,1.01,1,0,1,1,0.1280000,0.0320000,-1.7551725
0.850000,125.000000,1.01,1,0,1,1,0.2560000,0.0320000,-1.6701537
0.850000,125.000000,1.01,1,0,1,1,0.5120000,0.0320000,-1.4953373
0.850000,125.000000,1.01,1,0,1,1,1.0240000,0.0320000,-1.1485232
0.850000,125.000000,1.01,1,0,1,1,0.0160000,0.0640000, -1.8564520
0.850000,125.000000,1.01,1,0,1,1,0.0320000,0.0640000,-1.8444454
0.850000,125.000000,1.01,1,0,1,1,0.0640000,0.0640000,-1.8242196
0.850000,125.000000,1.01,1,0,1,1,0.1280000,0.0640000,-1.7793685
0.850000,125.000000,1.01,1,0,1,1,0.2560000,0.0640000,-1.6943498
0.850000,125.000000,1.01,1,0,1,1,0.5120000,0.0640000,-1.5195333
0.850000,125.000000,1.01,1,0,1,1,1.0240000,0.0640000,-1.1726609
0.850000,125.000000,1.01,1,0,1,1,0.0160000,0.1280000, -1.8967086
0.850000,125.000000,1.01,1,0,1,1,0.0320000,0.1280000,-1.8885393
0.850000,125.000000,1.01,1,0,1,1,0.0640000,0.1280000,-1.8644764
0.850000,125.000000,1.01,1,0,1,1,0.1280000,0.1280000,-1.8235313
0.850000,125.000000,1.01,1,0,1,1,0.2560000,0.1280000,-1.7345838
0.850000,125.000000,1.01,1,0,1,1,0.5120000,0.1280000,-1.5597899
0.850000,125.000000,1.01,1,0,1,1,1.0240000,0.1280000,-1.2171009
0.850000,125.000000,1.01,1,0,1,1,0.0160000,0.2560000, -1.9853141
0.850000,125.000000,1.01,1,0,1,1,0.0320000,0.2560000,-1.9730206
0.850000,125.000000,1.01,1,0,1,1,0.0640000,0.2560000,-1.9529687
0.850000,125.000000,1.01,1,0,1,1,0.1280000,0.2560000,-1.9081177
0.850000,125.000000,1.01,1,0,1,1,0.2560000,0.2560000,-1.8229265
0.850000,125.000000,1.01,1,0,1,1,0.5120000,0.2560000,-1.6483633
0.850000,125.000000,1.01,1,0,1,1,1.0240000,0.2560000,-1.3014912
0.850000,125.000000,1.01,1,0,1,1,0.0160000,0.5120000, -2.1579243
0.850000,125.000000,1.01,1,0,1,1,0.0320000,0.5120000,-2.1466979
0.850000,125.000000,1.01,1,0,1,1,0.0640000,0.5120000,-2.1264723
0.850000,125.000000,1.01,1,0,1,1,0.1280000,0.5120000,-2.0813895
0.850000,125.000000,1.01,1,0,1,1,0.2560000,0.5120000,-1.9966024
0.850000,125.000000,1.01,1,0,1,1,0.5120000,0.5120000,-1.8209763
0.850000,125.000000,1.01,1,0,1,1,1.0240000,0.5120000,-1.4743032
0.850000,125.000000,1.01,1,0,1,1,0.0160000,1.0240000, -2.5072668
0.850000,125.000000,1.01,1,0,1,1,0.0320000,1.0240000,-2.4938009
0.850000,125.000000,1.01,1,0,1,1,0.0640000,1.0240000,-2.4738951
0.850000,125.000000,1.01,1,0,1,1,0.1280000,1.0240000,-2.4336011
0.850000,125.000000,1.01,1,0,1,1,0.2560000,1.0240000,-2.3443205
0.850000,125.000000,1.01,1,0,1,1,0.5120000,1.0240000,-2.1713038
0.850000,125.000000,1.01,1,0,1,1,1.0240000,1.0240000,-1.8218791
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0160000,1.6989838
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0160000,1.6867007
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0160000,1.6671257
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0160000,1.6228697
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0160000,1.5343624
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0160000,1.3601764
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0160000,1.0245015
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0320000, 1.7071394
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0320000,1.6987625
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0320000,1.6752811
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0320000,1.6310253
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0320000,1.5464242
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0320000,1.3722382
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0320000,1.0172060
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0640000, 1.7272138
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0640000,1.7149305
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0640000,1.6953555
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0640000,1.6510997
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0640000,1.5664986
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0640000,1.3921843
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0640000,1.0373179
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.1280000, 1.7638251
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.1280000,1.7554481
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.1280000,1.7319668
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.1280000,1.6916172
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.1280000,1.6031099
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.1280000,1.4287876
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.1280000,1.0624530
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.2560000, 1.8447093
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.2560000,1.8324260
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.2560000,1.8128510
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.2560000,1.7685952
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.2560000,1.6839941
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.2560000,1.5093864
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.2560000,1.1622207
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.5120000, 1.9986623
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.5120000,1.9884143
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.5120000,1.9668041
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.5120000,1.9225923
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.5120000,1.8340408
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.5120000,1.6633394
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.5120000,1.3135733
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,1.0240000, 2.3104725
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,1.0240000,2.3086164
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,1.0240000,2.2786144
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,1.0240000,2.2452435
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,1.0240000,2.1419448
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,1.0240000,1.9749027
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,1.0240000,1.6209128
0.750000,-40.000000,0.99,1,0,1,1,0.0160000,0.0160000,-1.8749999
0.750000,-40.000000,0.99,1,0,1,1,0.0320000,0.0160000,-1.8629946
0.750000,-40.000000,0.99,1,0,1,1,0.0640000,0.0160000,-1.8467537
0.750000,-40.000000,0.99,1,0,1,1,0.1280000,0.0160000,-1.8023453
0.750000,-40.000000,0.99,1,0,1,1,0.2560000,0.0160000,-1.7253671
0.750000,-40.000000,0.99,1,0,1,1,0.5120000,0.0160000,-1.5675073
0.750000,-40.000000,0.99,1,0,1,1,1.0240000,0.0160000,-1.2368365
0.750000,-40.000000,0.99,1,0,1,1,0.0160000,0.0320000, -1.8869259
0.750000,-40.000000,0.99,1,0,1,1,0.0320000,0.0320000,-1.8749207
0.750000,-40.000000,0.99,1,0,1,1,0.0640000,0.0320000,-1.8586798
0.750000,-40.000000,0.99,1,0,1,1,0.1280000,0.0320000,-1.8142713
0.750000,-40.000000,0.99,1,0,1,1,0.2560000,0.0320000,-1.7372931
0.750000,-40.000000,0.99,1,0,1,1,0.5120000,0.0320000,-1.5755270
0.750000,-40.000000,0.99,1,0,1,1,1.0240000,0.0320000,-1.2487362
0.750000,-40.000000,0.99,1,0,1,1,0.0160000,0.0640000, -1.9071495
0.750000,-40.000000,0.99,1,0,1,1,0.0320000,0.0640000,-1.8951440
0.750000,-40.000000,0.99,1,0,1,1,0.0640000,0.0640000,-1.8789033
