nom_voltage,nom_temperature,nom_process,related_pin A4,related_pin S0,related_pin S1,timing_sense positive_unate,timing_sense non_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.016,0.1,0.0597714
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.032,0.1,0.0607957
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.064,0.1,0.0624374
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.128,0.1,0.0654743
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.256,0.1,0.0711844
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.512,0.1,0.0809181
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,1.024,0.1,0.0977730
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.016,0.25, 0.0615733
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.032,0.25,0.0625987
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.064,0.25,0.0642369
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.128,0.25,0.0673084
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.256,0.25,0.0728811
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.512,0.25,0.0826095
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,1.024,0.25,0.0995126
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.016,0.5, 0.0653162
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.032,0.5,0.0663426
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.064,0.5,0.0679165
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.128,0.5,0.0709158
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.256,0.5,0.0763964
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.512,0.5,0.0860309
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,1.024,0.5,0.1027822
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.016,1, 0.0693077
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.032,1,0.0703536
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.064,1,0.0720318
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.128,1,0.0751928
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.256,1,0.0809209
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.512,1,0.0908090
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,1.024,1,0.1079739
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.016,2, 0.0701732
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.032,2,0.0712690
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.064,2,0.0732864
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.128,2,0.0767022
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.256,2,0.0828706
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.512,2,0.0934497
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,1.024,2,0.1116985
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.016,4, 0.0605588
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.032,4,0.0618863
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.064,4,0.0638116
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.128,4,0.0670946
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.256,4,0.0737862
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.512,4,0.0865120
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,1.024,4,0.1068101
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.016,8, 0.0264428
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.032,8,0.0276327
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.064,8,0.0296013
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.128,8,0.0334704
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.256,8,0.0408706
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,0.512,8,0.0545193
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0,0,1.024,8,0.0791966
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.016,0.1,0.0351574
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.032,0.1,0.0357648
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.064,0.1,0.0367858
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.128,0.1,0.0388219
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.256,0.1,0.0433848
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.512,0.1,0.0522851
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,1.024,0.1,0.0707963
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.016,0.25, 0.0349059
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.032,0.25,0.0355134
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.064,0.25,0.0366090
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.128,0.25,0.0388456
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.256,0.25,0.0433659
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.512,0.25,0.0525305
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,1.024,0.25,0.0710244
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.016,0.5, 0.0369424
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.032,0.5,0.0376014
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.064,0.5,0.0385792
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.128,0.5,0.0406661
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.256,0.5,0.0451689
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.512,0.5,0.0539767
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,1.024,0.5,0.0721959
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.016,1, 0.0445885
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.032,1,0.0451346
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.064,1,0.0461510
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.128,1,0.0482126
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.256,1,0.0525242
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.512,1,0.0606124
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,1.024,1,0.0777726
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.016,2, 0.0599543
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.032,2,0.0605386
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.064,2,0.0615428
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.128,2,0.0636330
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.256,2,0.0678120
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.512,2,0.0753850
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,1.024,2,0.0920200
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.016,4, 0.0880539
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.032,4,0.0885754
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.064,4,0.0894945
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.128,4,0.0913736
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.256,4,0.0962849
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.512,4,0.1057798
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,1.024,4,0.1212679
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.016,8, 0.1445073
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.032,8,0.1456953
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.064,8,0.1462933
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.128,8,0.1474362
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.256,8,0.1510468
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,0.512,8,0.1609559
0.850000,125.000000,1.01,1,0,0,1,0,0,1,0,0,1.024,8,0.1778641
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.016,0.1,0.0528087
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.032,0.1,0.0539020
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.064,0.1,0.0556626
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.128,0.1,0.0588353
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.256,0.1,0.0647677
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.512,0.1,0.0753259
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,1.024,0.1,0.0936367
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.016,0.25, 0.0578287
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.032,0.25,0.0588943
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.064,0.25,0.0606361
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.128,0.25,0.0638788
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.256,0.25,0.0698356
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.512,0.25,0.0802303
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,1.024,0.25,0.0983171
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.016,0.5, 0.0680198
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.032,0.5,0.0690712
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.064,0.5,0.0707572
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.128,0.5,0.0739492
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.256,0.5,0.0797440
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.512,0.5,0.0899837
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,1.024,0.5,0.1078623
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.016,1, 0.0843135
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.032,1,0.0853760
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.064,1,0.0871182
0.850000,125.000000,1.01,1,0,0,1,0,0,0,1,0,0.128,1,0.0905661
