nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.1,0.0150194
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.1,0.0164780
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.1,0.0186371
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.1,0.0228953
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.1,0.0316442
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.1,0.0490341
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.1,0.0840485
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.25, 0.0197707
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.25,0.0215624
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.25,0.0243728
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.25,0.0294418
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.25,0.0380861
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.25,0.0552221
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.25,0.0907529
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.5, 0.0271460
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.5,0.0293827
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.5,0.0330506
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.5,0.0393532
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.5,0.0503720
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.5,0.0687704
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.5,0.1024710
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,1, 0.0396686
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,1,0.0425334
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,1,0.0468086
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,1,0.0550725
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,1,0.0686145
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,1,0.0918341
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,1,0.1299212
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,2, 0.0630297
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,2,0.0657595
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,2,0.0704261
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,2,0.0805055
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,2,0.0981507
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,2,0.1272065
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,2,0.1748621
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,4, 0.1053976
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,4,0.1088261
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,4,0.1144750
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,4,0.1262854
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,4,0.1480196
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,4,0.1830739
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,4,0.2434835
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,8, 0.1905524
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,8,0.1947593
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,8,0.2000073
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,8,0.2136303
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,8,0.2349191
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,8,0.2773517
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,8,0.3497136
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.1,0.0137113
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.1,0.0152319
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.1,0.0180057
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.1,0.0241564
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.1,0.0376164
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.1,0.0650910
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.1,0.1198942
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.25, 0.0212979
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.25,0.0226722
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.25,0.0246075
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.25,0.0292010
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.25,0.0403905
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.25,0.0662062
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.25,0.1213190
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.5, 0.0355516
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.5,0.0371759
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.5,0.0396813
