nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0588904
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0599761
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0611431
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0634063
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0676073
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0752941
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0892522
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0651959
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0662819
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0674782
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0697341
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0739240
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0815693
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0955008
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0774291
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0785073
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0796659
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0818891
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0860066
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.0935424
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.1074023
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.0983862
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.0994433
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.1007877
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.1030021
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.1071023
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.1146228
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.1282555
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.1330091
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.1341529
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.1353871
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,8,0.1380365
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,8,0.1423574
