nom_voltage,nom_temperature,nom_process,related_pin A,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0249894
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0261290
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0272652
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0293917
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0332913
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0403920
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0441845
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4,  0.0284896
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.0296491
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.0307810
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.0328890
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.0366881
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.0436326
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.0473304
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8,  0.0321250
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.0333388
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.0345385
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.0368052
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.0408755
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.0481157
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.0519642
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,16,  0.0349264
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,16,0.0362842
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,16,0.0376228
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,16,0.0403721
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,16,0.0450033
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,16,0.0531659
