nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.1,0.0394971
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.1,0.0404697
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.1,0.0416177
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.1,0.0437822
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.1,0.0477336
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.1,0.0548671
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.1,0.0681629
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.5, 0.0432775
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.5,0.0442444
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.5,0.0453879
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.5,0.0475269
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.5,0.0514411
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.5,0.0585654
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.5,0.0718110
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,1, 0.0487936
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,1,0.0497778
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,1,0.0509474
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,1,0.0530935
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,1,0.0569784
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,1,0.0640362
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,1,0.0772063
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,2, 0.0555993
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,2,0.0566145
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,2,0.0579066
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,2,0.0601077
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,2,0.0640603
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,2,0.0712168
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,2,0.0843362
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,4, 0.0628871
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,4,0.0639738
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,4,0.0652684
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,4,0.0676861
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,4,0.0720449
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,4,0.0796286
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,4,0.0931952
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,8, 0.0691346
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,8,0.0703453
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,8,0.0718055
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,8,0.0745279
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,8,0.0797240
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,8,0.0882126
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,8,0.1029946
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,16, 0.0722409
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,16,0.0735803
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,16,0.0752201
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,16,0.0783530
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,16,0.0841221
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,16,0.0942863
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,16,0.1117808
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.1,0.0143717
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.1,0.0150569
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.1,0.0159886
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.1,0.0178728
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.1,0.0219534
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.1,0.0307827
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.1,0.0497732
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.5, 0.0147055
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.5,0.0153662
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.5,0.0163163
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.5,0.0182102
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.5,0.0222340
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.5,0.0309801
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.5,0.0498739
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,1, 0.0162882
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,1,0.0168907
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,1,0.0177370
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,1,0.0195503
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,1,0.0233328
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,1,0.0318178
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,1,0.0503085
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,2, 0.0200374
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,2,0.0206574
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,2,0.0214874
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,2,0.0230915
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,2,0.0264215
