nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0587601
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0598865
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0611091
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0634277
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0676625
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0753248
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0892048
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0620716
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0632215
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0644584
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0667628
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0709987
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0786490
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0924878
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0670713
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0682007
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0694235
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0717016
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0758978
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.0834966
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.0972815
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.0734741
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.0746050
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.0758155
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.0781097
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.0823125
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.0898931
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.1036113
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.0795060
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.0806829
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.0821272
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,8,0.0844636
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,8,0.0887914
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,8,0.0965908
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,8,0.1103998
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,16, 0.0813087
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,16,0.0825566
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,16,0.0839106
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,16,0.0867524
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,16,0.0915267
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,16,0.0999138
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,16,0.1145896
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,32, 0.0718012
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,32,0.0731557
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,32,0.0746282
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,32,0.0774730
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,32,0.0828198
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,32,0.0924705
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,32,0.1093414
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0238656
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0245321
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,0.1,0.0252669
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,0.1,0.0268664
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,0.1,0.0306084
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,0.1,0.0386817
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,0.1,0.0563227
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,1, 0.0239554
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,1,0.0245613
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,1,0.0253234
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,1,0.0269732
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,1,0.0307189
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,1,0.0387272
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,1,0.0564022
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,2, 0.0248027
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,2,0.0254315
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,2,0.0261219
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,2,0.0278080
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,2,0.0312902
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,2,0.0391858
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,2,0.0565980
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,4, 0.0276815
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,4,0.0282872
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,4,0.0291050
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,4,0.0305908
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,4,0.0339123
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,4,0.0413003
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,4,0.0581193
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,8, 0.0344214
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,8,0.0350019
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,8,0.0359287
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,8,0.0372507
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.256,8,0.0400070
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.512,8,0.0467124
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,1.024,8,0.0622320
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,16, 0.0467664
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,16,0.0473350
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,16,0.0480049
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,16,0.0497084
