nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0545650
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0552588
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0563830
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0584046
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0621447
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0690385
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0820267
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.25, 0.0578291
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.25,0.0585204
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.25,0.0596548
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.25,0.0616736
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.25,0.0654252
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.25,0.0722965
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.25,0.0853023
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0623867
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0630725
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0641542
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0662113
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0699575
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0768565
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0898027
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,1, 0.0675149
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,1,0.0682495
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,1,0.0694226
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,1,0.0715963
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,1,0.0754329
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,1,0.0824241
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,1,0.0954903
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,2, 0.0717728
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,2,0.0725842
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,2,0.0738757
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,2,0.0762549
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,2,0.0806324
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,2,0.0880484
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,2,0.1015250
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,4, 0.0719076
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,4,0.0728434
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,4,0.0743448
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,4,0.0770600
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,4,0.0819529
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,4,0.0904600
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,4,0.1051949
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,8, 0.0611194
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,8,0.0621541
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,8,0.0638322
