nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0523104
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0534922
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0548810
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0575752
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0625869
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0715123
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0872261
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0530511
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0542223
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0556101
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0583238
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0632503
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0721022
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0877615
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,1, 0.0540819
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,1,0.0552542
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,1,0.0566747
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,1,0.0594204
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,1,0.0644158
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,1,0.0732251
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,1,0.0887882
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,2, 0.0539336
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,2,0.0549966
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,2,0.0564393
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,2,0.0592247
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.256,2,0.0644029
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.512,2,0.0734907
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,1.024,2,0.0894939
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.016,4, 0.0484782
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.032,4,0.0497246
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.064,4,0.0512433
0.850000,125.000000,1.01,1,0,0,0,0,1,1,1,0,0,0,0.128,4,0.0541630
