nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0473523
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0483001
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0498043
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0526215
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0577505
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0667638
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0824291
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.25, 0.0481592
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.25,0.0490935
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.25,0.0505984
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.25,0.0534097
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.25,0.0584793
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.25,0.0674152
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.25,0.0830746
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0487418
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0496910
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0512139
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0540900
