nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0374044
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0382458
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0396019
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0421318
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0467316
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0548719
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0694169
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.25, 0.0392960
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.25,0.0401265
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.25,0.0414713
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.25,0.0439485
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.25,0.0484574
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.25,0.0565623
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.25,0.0710567
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0413798
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0422357
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0436172
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0461739
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0508142
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0590550
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0736678
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,1, 0.0425862
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,1,0.0435067
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,1,0.0449805
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,1,0.0478849
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,1,0.0528522
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,1,0.0613085
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,1,0.0764543
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,2, 0.0394093
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,2,0.0403830
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,2,0.0419553
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,2,0.0449416
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,2,0.0504364
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,2,0.0602043
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,2,0.0767274
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,4, 0.0250728
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,4,0.0261277
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,4,0.0278565
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,4,0.0317057
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,4,0.0378816
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,4,0.0489592
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,4,0.0684532
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,8, -0.0131249
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,8,-0.0119678
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,8,-0.0100823
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,8,-0.0063458
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,8,0.0010396
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,8,0.0149776
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,8,0.0374410
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0201784
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0207951
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0218258
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0239462
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0282785
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0372240
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0559648
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.25, 0.0210945
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.25,0.0216372
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.25,0.0226427
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.25,0.0247866
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.25,0.0290002
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.25,0.0378561
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.25,0.0563975
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0249936
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0254898
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0264652
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0284718
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0324001
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0406312
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0585027
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,1, 0.0330842
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,1,0.0336617
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,1,0.0345931
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,1,0.0365525
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,1,0.0404546
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,1,0.0480250
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,1,0.0651123
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,2, 0.0492738
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,2,0.0497168
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,2,0.0504807
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,2,0.0518499
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,2,0.0556659
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,2,0.0635702
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,2,0.0794963
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,4, 0.0777654
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,4,0.0782458
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,4,0.0795390
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,4,0.0818005
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,4,0.0853739
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,4,0.0922864
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,4,0.1085888
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,8, 0.1327796
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,8,0.1332394
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,8,0.1340495
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,8,0.1357334
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,8,0.1402062
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,8,0.1494341
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,8,0.1655784
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0350305
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0359745
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0374975
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0403123
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,0.1,0.0453666
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,0.1,0.0542782
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,0.1,0.0703584
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.25, 0.0403622
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.25,0.0412710
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.25,0.0427338
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.25,0.0454665
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,0.25,0.0503825
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,0.25,0.0591622
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,0.25,0.0751422
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.5, 0.0493273
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.5,0.0502628
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.5,0.0517699
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.5,0.0546048
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,0.5,0.0597183
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,0.5,0.0685082
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,0.5,0.0843549
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,1, 0.0625991
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,1,0.0635960
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,1,0.0651875
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,1,0.0684670
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,1,0.0738710
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,1,0.0833980
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,1,0.1000506
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,2, 0.0833712
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,2,0.0846105
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,2,0.0863305
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,2,0.0895945
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,2,0.0956587
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,2,0.1064687
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,2,0.1253585
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,4, 0.1166408
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,4,0.1177544
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,4,0.1195756
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,4,0.1233497
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,4,0.1304201
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,4,0.1427487
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,4,0.1645588
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,8, 0.1733158
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,8,0.1744952
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,8,0.1764423
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,8,0.1802749
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,8,0.1882903
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,8,0.2026152
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,8,0.2286030
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,0.1,0.0176514
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,0.1,0.0183080
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,0.1,0.0194471
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,0.1,0.0218183
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,0.1,0.0267957
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,0.1,0.0371692
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,0.1,0.0597351
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,0.25, 0.0183924
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,0.25,0.0190017
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,0.25,0.0200781
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,0.25,0.0224004
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,0.25,0.0272028
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,0.25,0.0374384
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,0.25,0.0599800
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,0.5, 0.0231029
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,0.5,0.0238424
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.064,0.5,0.0248139
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.128,0.5,0.0268794
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.256,0.5,0.0309347
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.512,0.5,0.0402735
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,1.024,0.5,0.0616299
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.016,1, 0.0331488
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,0,1,0.032,1,0.0336956
