nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0628636
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0638298
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0649766
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0671827
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0710592
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0781764
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0914420
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0680251
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0689863
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0702227
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0723280
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0762258
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0833397
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,0.5,0.0965922
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,1, 0.0786181
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,1,0.0795974
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,1,0.0807368
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,1,0.0828652
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,1,0.0867965
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,1,0.0938559
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,1,0.1070754
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,2, 0.0964690
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,2,0.0974724
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,2,0.0987936
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,2,0.1010300
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,2,0.1051039
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,2,0.1122792
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,2,0.1254950
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,4, 0.1251175
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,4,0.1262387
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,4,0.1275227
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,4,0.1299414
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,4,0.1343676
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,4,0.1422384
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,4,0.1556790
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,8, 0.1716065
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,8,0.1728122
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,8,0.1742666
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,8,0.1770269
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,8,0.1821013
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,8,0.1909597
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,8,0.2063695
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.016,16, 0.2508674
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.032,16,0.2522445
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.064,16,0.2539232
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.128,16,0.2571384
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.256,16,0.2631713
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,0.512,16,0.2738144
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,1,0,0,0,1.024,16,0.2919202
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0191361
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0197417
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0205855
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0222979
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0259234
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0340772
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0523156
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0192026
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0198109
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0206293
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0222283
