nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.1,0.0273819
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.1,0.0281405
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.1,0.0293351
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.1,0.0315605
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.1,0.0356189
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.1,0.0429642
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.1,0.0565196
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.25, 0.0311547
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.25,0.0319247
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.25,0.0331015
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.25,0.0352728
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.25,0.0392630
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.25,0.0465014
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.25,0.0599270
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,0.5, 0.0355479
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,0.5,0.0363367
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,0.5,0.0375999
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,0.5,0.0399316
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,0.5,0.0442001
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,0.5,0.0516809
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,0.5,0.0652527
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,1, 0.0405720
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,1,0.0414652
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,1,0.0428969
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,1,0.0455351
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,1,0.0503505
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,1,0.0585408
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,1,0.0724939
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,2, 0.0458091
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,2,0.0467854
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,2,0.0483584
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,2,0.0513372
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,2,0.0567847
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,2,0.0663432
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,2,0.0824716
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,4, 0.0505489
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,4,0.0516516
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,4,0.0534540
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,4,0.0569295
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,4,0.0633182
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,4,0.0748125
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,4,0.0940580
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.016,8, 0.0559269
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.032,8,0.0571070
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.064,8,0.0590473
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.128,8,0.0628313
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.256,8,0.0700414
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,0.512,8,0.0833555
0.850000,125.000000,1.01,1,0,1,1,1,0,0,0,1.024,8,0.1065847
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.1,0.0143079
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.1,0.0149109
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.1,0.0158949
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.1,0.0180156
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.1,0.0223770
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.1,0.0313656
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.1,0.0504461
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.25, 0.0164835
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.25,0.0170714
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.064,0.25,0.0179225
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.128,0.25,0.0197762
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.256,0.25,0.0237289
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.512,0.25,0.0323448
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,1.024,0.25,0.0510187
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.016,0.5, 0.0220021
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0.032,0.5,0.0224694
