nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,0.1,0.0656532
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,0.1,0.0667790
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,0.1,0.0679021
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,0.1,0.0700298
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,0.1,0.0738960
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,0.1,0.0809012
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,0.1,0.0940191
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,1, 0.0697065
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,1,0.0707671
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,1,0.0719173
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,1,0.0740338
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,1,0.0778995
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,1,0.0849001
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,1,0.0980237
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,2, 0.0770359
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,2,0.0781338
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,2,0.0792800
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,2,0.0814131
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,2,0.0852648
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,2,0.0922348
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,2,0.1052819
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,4, 0.0873705
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,4,0.0884773
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,4,0.0896090
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,4,0.0917089
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,4,0.0955526
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,4,0.1025237
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,4,0.1155389
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,8, 0.1016687
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,8,0.1028091
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,8,0.1039773
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,8,0.1061356
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,8,0.1100550
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,8,0.1170852
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,8,0.1300057
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,16, 0.1215482
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,16,0.1227512
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,16,0.1241088
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,16,0.1264735
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,16,0.1306088
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,16,0.1378819
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,16,0.1509811
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.016,32, 0.1508290
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.032,32,0.1521459
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.064,32,0.1535506
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.128,32,0.1561769
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.256,32,0.1608653
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,0.512,32,0.1691862
0.850000,125.000000,1.01,1,0,0,1,1,1,0,0,0,1.024,32,0.1830150
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.016,0.1,0.0151883
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.032,0.1,0.0158674
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.064,0.1,0.0166998
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0.128,0.1,0.0185045
