nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.1,0.0712138
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.1,0.0722067
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.1,0.0733278
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.1,0.0753274
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.1,0.0790106
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.1,0.0857824
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.1,0.0986177
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,0.5, 0.0751058
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,0.5,0.0760350
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,0.5,0.0771284
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,0.5,0.0791628
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,0.5,0.0828656
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,0.5,0.0896016
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,0.5,0.1024245
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,1, 0.0835431
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,1,0.0845737
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,1,0.0856611
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,1,0.0876865
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,1,0.0913581
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,1,0.0981175
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,1,0.1109410
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,2, 0.0958330
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,2,0.0968025
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,2,0.0980144
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,2,0.1000578
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,2,0.1037770
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,2,0.1105596
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,2,0.1232995
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,4, 0.1125602
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,4,0.1135765
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,4,0.1148553
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,4,0.1170476
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,4,0.1208955
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,4,0.1277593
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,4,0.1405678
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,8, 0.1360235
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,8,0.1371560
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,8,0.1384733
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,8,0.1408331
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,8,0.1450344
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,8,0.1523346
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,8,0.1654041
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.016,16, 0.1696759
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.032,16,0.1709550
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.064,16,0.1724391
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.128,16,0.1751992
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.256,16,0.1800578
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,0.512,16,0.1882723
0.850000,125.000000,1.01,1,0,0,0,1,1,1,0,0,0,1.024,16,0.2023313
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.1,0.0125547
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.1,0.0132575
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.1,0.0141381
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.1,0.0158989
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.1,0.0197755
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.1,0.0284438
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.1,0.0476196
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,0.5, 0.0126734
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,0.5,0.0132775
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,0.5,0.0140806
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,0.5,0.0159078
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,0.5,0.0197899
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,0.5,0.0284219
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,0.5,0.0476584
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,1, 0.0127969
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,1,0.0134457
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,1,0.0143297
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,1,0.0160397
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,1,0.0199339
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,1,0.0285051
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,1,0.0476641
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,2, 0.0140503
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,2,0.0146801
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,2,0.0155961
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,2,0.0172075
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,2,0.0209375
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,2,0.0291895
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,2,0.0479876
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,4, 0.0167112
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,4,0.0173236
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,4,0.0181806
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,4,0.0198503
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,4,0.0232462
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,4,0.0309925
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,4,0.0489988
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,8, 0.0219834
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,8,0.0225881
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,8,0.0233441
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,8,0.0247518
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,8,0.0280090
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,8,0.0352038
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,8,0.0519260
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.016,16, 0.0317300
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.032,16,0.0324095
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.064,16,0.0331678
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.128,16,0.0348199
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.256,16,0.0378961
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,0.512,16,0.0444458
0.850000,125.000000,1.01,1,0,0,0,1,1,0,1,0,0,1.024,16,0.0596954
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.1,0.0635191
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.1,0.0646556
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.1,0.0659305
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.1,0.0683487
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,0.1,0.0726288
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,0.1,0.0804919
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,0.1,0.0959755
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,0.5, 0.0667668
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,0.5,0.0678781
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,0.5,0.0691978
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,0.5,0.0715855
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,0.5,0.0758902
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,0.5,0.0837145
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,0.5,0.0992164
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,1, 0.0713289
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,1,0.0724603
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,1,0.0737699
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.128,1,0.0761917
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.256,1,0.0805005
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.512,1,0.0883523
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,1.024,1,0.1037531
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.016,2, 0.0769610
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.032,2,0.0780897
0.850000,125.000000,1.01,1,0,0,0,1,1,0,0,1,0,0.064,2,0.0794214
