nom_voltage,nom_temperature,nom_process,related_pin AP,related_pin INOUT1,timing_type three_state_enable,timing_type three_state_disable,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,0.721328,0.0034326
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,0.721328,0.0042525
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,0.721328,0.0054498
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,0.721328,0.0075139
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,0.721328,0.0107703
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,0.721328,0.0158642
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,0.721328,0.0245802
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,0.871328, 0.0013319
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,0.871328,0.0026097
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,0.871328,0.0044150
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,0.871328,0.0075479
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,0.871328,0.0122896
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,0.871328,0.0194385
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,0.871328,0.0300974
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,1.12133, -0.0059494
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,1.12133,-0.0039046
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,1.12133,-0.0009525
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,1.12133,0.0038238
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,1.12133,0.0109009
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,1.12133,0.0214493
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,1.12133,0.0365400
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,1.62133, -0.0263561
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,1.62133,-0.0229156
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,1.62133,-0.0180495
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,1.62133,-0.0102109
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,1.62133,0.0014690
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,1.62133,0.0175631
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,1.62133,0.0397165
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,2.62133, -0.0773332
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,2.62133,-0.0712269
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,2.62133,-0.0627669
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,2.62133,-0.0495278
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,2.62133,-0.0301797
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,2.62133,-0.0040180
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,2.62133,0.0302456
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,4.62133, -0.2013029
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,4.62133,-0.1894945
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,4.62133,-0.1737259
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,4.62133,-0.1495015
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,4.62133,-0.1163282
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,4.62133,-0.0716580
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,4.62133,-0.0155802
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,8.62133, -0.4904067
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,8.62133,-0.4692209
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,8.62133,-0.4364356
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,8.62133,-0.3917247
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,8.62133,-0.3288184
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,8.62133,-0.2512576
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,8.62133,-0.1575684
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,0.721328,0.0124219
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,0.721328,0.0131367
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,0.721328,0.0142152
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,0.721328,0.0160568
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,0.721328,0.0189236
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,0.721328,0.0260533
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,0.721328,0.0425173
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,0.871328, 0.0204214
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,0.871328,0.0216021
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,0.871328,0.0229629
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,0.871328,0.0254464
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,0.871328,0.0297550
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,0.871328,0.0359019
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,0.871328,0.0497331
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,1.12133, 0.0348936
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,1.12133,0.0365834
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,1.12133,0.0386424
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,1.12133,0.0418714
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,1.12133,0.0480201
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,1.12133,0.0567166
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,1.12133,0.0698522
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,1.62133, 0.0619010
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,1.62133,0.0633062
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,1.62133,0.0663464
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,1.62133,0.0708850
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,1.62133,0.0791257
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,1.62133,0.0927509
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,1.62133,0.1108005
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,2.62133, 0.1152548
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,2.62133,0.1169198
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,2.62133,0.1201978
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,2.62133,0.1262129
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,2.62133,0.1376348
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,2.62133,0.1531770
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,2.62133,0.1811941
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,4.62133, 0.2195635
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,4.62133,0.2228640
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,4.62133,0.2274935
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,4.62133,0.2318500
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,4.62133,0.2444398
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,4.62133,0.2689554
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,4.62133,0.3025248
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.016,8.62133, 0.3966117
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.032,8.62133,0.4089592
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.064,8.62133,0.4216267
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.128,8.62133,0.4407814
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.256,8.62133,0.4559254
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,0.512,8.62133,0.4796660
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,1,0,0,1.024,8.62133,0.5250332
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.016,0.721328,0.0018408
0.850000,125.000000,1.01,1,0,1,0,0,1,0,0,0,1,0,0.032,0.721328,0.0028930
