nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0233324
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0269539
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0301563
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0327479
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0306794
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0179518
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0231283
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0234999
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0269550
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0296413
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0271551
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0144269
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0227477
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0241822
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0239192
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0274546
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0302378
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0278376
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0151073
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0259742
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0254817
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0250858
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0282277
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0313236
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0292909
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0164420
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0207154
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0318448
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0315254
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0346307
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0371423
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0388994
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0226332
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.0182465
