nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,related_pin NRESTORE,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0160000,-0.8749394
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0160000,-0.8785847
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0160000,-0.8896966
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0160000,-0.9081600
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0160000,-0.9252336
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0160000,-0.9398499
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0160000,-0.9456448
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0320000, -0.8792476
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0320000,-0.8828928
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0320000,-0.8940048
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0320000,-0.9085616
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0320000,-0.9295418
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0320000,-0.9402514
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0320000,-0.9460465
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0640000, -0.8837767
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0640000,-0.8913284
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0640000,-0.8985340
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0640000,-0.9169973
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0640000,-0.9340709
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0640000,-0.9487706
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0640000,-0.9544820
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.1280000, -0.8967236
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.1280000,-0.9042752
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.1280000,-0.9114809
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.1280000,-0.9299441
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.1280000,-0.9470178
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.1280000,-0.9616340
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.1280000,-0.9674289
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.2560000, -0.9264685
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.2560000,-0.9300593
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.2560000,-0.9411794
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.2560000,-0.9598331
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.2560000,-0.9769227
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.2560000,-0.9915839
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.2560000,-0.9932296
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.5120000, -0.9864761
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.5120000,-0.9940314
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.5120000,-1.0012966
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.5120000,-1.0192159
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.5120000,-1.0367418
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.5120000,-1.0514453
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.5120000,-1.0568891
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,1.0240000, -1.1133084
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,1.0240000,-1.1209744
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,1.0240000,-1.1286835
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,1.0240000,-1.1466613
