nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,related_pin NRESTORE,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0160000,-0.7344150
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0160000,-0.7379725
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0160000,-0.7492472
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0160000,-0.7675501
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0160000,-0.7885300
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0160000,-0.8109586
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0160000,-0.8245661
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0320000, -0.7387471
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0320000,-0.7423044
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0320000,-0.7535793
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0320000,-0.7679754
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0320000,-0.7928621
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0320000,-0.8153260
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0320000,-0.8289038
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0640000, -0.7433330
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0640000,-0.7468908
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0640000,-0.7581653
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0640000,-0.7764683
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0640000,-0.7974481
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0640000,-0.8195332
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0640000,-0.8334844
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.1280000, -0.7564602
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.1280000,-0.7598750
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.1280000,-0.7711494
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.1280000,-0.7893650
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.1280000,-0.8107838
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.1280000,-0.8334699
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.1280000,-0.8464584
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.2560000, -0.7821710
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.2560000,-0.7857263
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.2560000,-0.7970034
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.2560000,-0.8118402
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.2560000,-0.8362791
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.2560000,-0.8590892
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.2560000,-0.8721041
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.5120000, -0.8302004
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.5120000,-0.8336953
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.5120000,-0.8450074
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.5120000,-0.8637067
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.5120000,-0.8847042
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.5120000,-0.9103544
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.5120000,-0.9206858
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,1.0240000, -0.9308735
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,1.0240000,-0.9341968
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,1.0240000,-0.9456902
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,1.0240000,-0.9626483
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,1.0240000,-0.9857029
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,1.0240000,-1.0100144
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,1.0240000,-1.0244168
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.0160000,0.0160000,0.0856901
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.0320000,0.0160000,0.0900190
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.0640000,0.0160000,0.0985033
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.1280000,0.0160000,0.1152558
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.2560000,0.0160000,0.1412033
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.5120000,0.0160000,0.1773640
0.850000,125.000000,1.01,0,1,0,1,0,0,1,1.0240000,0.0160000,0.2301628
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.0160000,0.0320000, 0.0930713
0.850000,125.000000,1.01,0,1,0,1,0,0,1,0.0320000,0.0320000,0.0933550
