nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0160000,-0.8048031
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0160000,-0.8083754
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0160000,-0.8195433
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0160000,-0.8375791
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0160000,-0.8667193
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0160000,-0.9125855
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0160000,-0.9730678
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0320000, -0.8052548
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0320000,-0.8088271
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0320000,-0.8160887
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0320000,-0.8380308
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0320000,-0.8671709
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0320000,-0.9130371
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0320000,-0.9735195
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0640000, -0.8019652
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0640000,-0.8094204
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0640000,-0.8167015
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0640000,-0.8347373
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0640000,-0.8638775
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0640000,-0.9136499
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0640000,-0.9741323
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.1280000, -0.8031212
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.1280000,-0.8105997
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.1280000,-0.8178613
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.1280000,-0.8358972
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.1280000,-0.8650374
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.1280000,-0.9148114
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.1280000,-0.9753830
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.2560000, -0.8096950
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.2560000,-0.8135724
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.2560000,-0.8245080
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.2560000,-0.8420931
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.2560000,-0.8712589
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.2560000,-0.9174634
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.2560000,-0.9782165
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.5120000, -0.8305396
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.5120000,-0.8307032
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.5120000,-0.8415315
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.5120000,-0.8631583
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.5120000,-0.8889303
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.5120000,-0.9337557
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.5120000,-0.9988905
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,1.0240000, -0.8608645
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,1.0240000,-0.8644448
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,1.0240000,-0.8707594
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,1.0240000,-0.8931497
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,1.0240000,-0.9220871
