nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type falling_edge,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.1,0.0620574
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.1,0.0634078
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.1,0.0650277
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.1,0.0680153
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.1,0.0734931
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.1,0.0830944
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.1,0.0998782
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,0.5, 0.0662852
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,0.5,0.0676039
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,0.5,0.0692390
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,0.5,0.0722289
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,0.5,0.0776908
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,0.5,0.0872690
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,0.5,0.1040288
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,1, 0.0730024
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,1,0.0743281
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,1,0.0759386
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,1,0.0789108
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,1,0.0843192
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,1,0.0938238
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,1,0.1105239
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,2, 0.0827507
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,2,0.0841052
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,2,0.0857046
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,2,0.0887038
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,2,0.0941494
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,2,0.1036993
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,2,0.1203498
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,4, 0.0965199
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,4,0.0978891
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,4,0.0995481
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,4,0.1026797
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,4,0.1083697
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,4,0.1182938
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,4,0.1353261
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,8, 0.1140325
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,8,0.1154697
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,8,0.1172138
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,8,0.1206604
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,8,0.1267976
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,8,0.1376469
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,8,0.1559904
0.850000,125.000000,1.01,1,1,1,0,0,0,0.016,16, 0.1348322
0.850000,125.000000,1.01,1,1,1,0,0,0,0.032,16,0.1363811
0.850000,125.000000,1.01,1,1,1,0,0,0,0.064,16,0.1382928
0.850000,125.000000,1.01,1,1,1,0,0,0,0.128,16,0.1420180
0.850000,125.000000,1.01,1,1,1,0,0,0,0.256,16,0.1489852
0.850000,125.000000,1.01,1,1,1,0,0,0,0.512,16,0.1613952
0.850000,125.000000,1.01,1,1,1,0,0,0,1.024,16,0.1826087
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.1,0.0299915
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.1,0.0308747
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.1,0.0318438
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.1,0.0343293
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.1,0.0390482
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.1,0.0486322
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.1,0.0674713
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,0.5, 0.0300814
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,0.5,0.0309101
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,0.5,0.0319618
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,0.5,0.0344050
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,0.5,0.0390729
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,0.5,0.0487051
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,0.5,0.0675691
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,1, 0.0308295
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,1,0.0315310
0.850000,125.000000,1.01,1,1,0,1,0,0,0.064,1,0.0325643
0.850000,125.000000,1.01,1,1,0,1,0,0,0.128,1,0.0349064
0.850000,125.000000,1.01,1,1,0,1,0,0,0.256,1,0.0397262
0.850000,125.000000,1.01,1,1,0,1,0,0,0.512,1,0.0490465
0.850000,125.000000,1.01,1,1,0,1,0,0,1.024,1,0.0679445
0.850000,125.000000,1.01,1,1,0,1,0,0,0.016,2, 0.0340563
0.850000,125.000000,1.01,1,1,0,1,0,0,0.032,2,0.0348582
