nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,related_pin NRESTORE,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0160000,-0.8749395
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0160000,-0.8785845
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0160000,-0.8896966
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0160000,-0.9081600
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0160000,-0.9252336
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0160000,-0.9398499
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0160000,-0.9417384
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0320000, -0.8792477
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0320000,-0.8828926
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0320000,-0.8940048
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0320000,-0.9085616
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0320000,-0.9295418
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0320000,-0.9402514
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0320000,-0.9460465
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0640000, -0.8837768
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0640000,-0.8913281
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0640000,-0.8985339
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0640000,-0.9169972
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0640000,-0.9340709
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0640000,-0.9487703
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0640000,-0.9544819
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.1280000, -0.8967236
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.1280000,-0.9042750
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.1280000,-0.9114808
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.1280000,-0.9299441
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.1280000,-0.9470178
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.1280000,-0.9616340
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.1280000,-0.9674289
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.2560000, -0.9265054
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.2560000,-0.9300553
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.2560000,-0.9411794
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.2560000,-0.9598335
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.2560000,-0.9769258
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.2560000,-0.9915839
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.2560000,-0.9932302
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.5120000, -0.9864746
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.5120000,-0.9940310
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.5120000,-1.0012968
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.5120000,-1.0192167
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.5120000,-1.0367432
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.5120000,-1.0514312
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.5120000,-1.0568892
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,1.0240000, -1.1132979
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,1.0240000,-1.1209760
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,1.0240000,-1.1286280
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,1.0240000,-1.1466676
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,1.0240000,-1.1635325
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,1.0240000,-1.1818727
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,1.0240000,-1.1835938
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,0.0160000,0.0662821
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,0.0160000,0.0705058
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,0.0160000,0.0788891
