nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0.0160000,0.0160000,0.0193747
0.850000,125.000000,1.01,1,1,1,0.0320000,0.0160000,0.0230337
0.850000,125.000000,1.01,1,1,1,0.0640000,0.0160000,0.0225382
0.850000,125.000000,1.01,1,1,1,0.1280000,0.0160000,0.0247179
0.850000,125.000000,1.01,1,1,1,0.2560000,0.0160000,0.0186764
0.850000,125.000000,1.01,1,1,1,0.5120000,0.0160000,0.0023269
0.850000,125.000000,1.01,1,1,1,1.0240000,0.0160000,-0.0504720
0.850000,125.000000,1.01,1,1,1,0.0160000,0.0320000,  0.0198300
0.850000,125.000000,1.01,1,1,1,0.0320000,0.0320000,0.0195312
0.850000,125.000000,1.01,1,1,1,0.0640000,0.0320000,0.0230569
0.850000,125.000000,1.01,1,1,1,0.1280000,0.0320000,0.0218702
0.850000,125.000000,1.01,1,1,1,0.2560000,0.0320000,0.0193900
0.850000,125.000000,1.01,1,1,1,0.5120000,0.0320000,-0.0011501
0.850000,125.000000,1.01,1,1,1,1.0240000,0.0320000,-0.0539490
0.850000,125.000000,1.01,1,1,1,0.0160000,0.0640000,  0.0125047
0.850000,125.000000,1.01,1,1,1,0.0320000,0.0640000,0.0161503
0.850000,125.000000,1.01,1,1,1,0.0640000,0.0640000,0.0196345
0.850000,125.000000,1.01,1,1,1,0.1280000,0.0640000,0.0224120
0.850000,125.000000,1.01,1,1,1,0.2560000,0.0640000,0.0199502
0.850000,125.000000,1.01,1,1,1,0.5120000,0.0640000,-0.0005121
0.850000,125.000000,1.01,1,1,1,1.0240000,0.0640000,-0.0494053
0.850000,125.000000,1.01,1,1,1,0.0160000,0.1280000,  0.0098063
0.850000,125.000000,1.01,1,1,1,0.0320000,0.1280000,0.0134458
0.850000,125.000000,1.01,1,1,1,0.0640000,0.1280000,0.0168668
0.850000,125.000000,1.01,1,1,1,0.1280000,0.1280000,0.0192826
0.850000,125.000000,1.01,1,1,1,0.2560000,0.1280000,0.0173632
0.850000,125.000000,1.01,1,1,1,0.5120000,0.1280000,0.0011396
0.850000,125.000000,1.01,1,1,1,1.0240000,0.1280000,-0.0441312
0.850000,125.000000,1.01,1,1,1,0.0160000,0.2560000,  0.0083575
0.850000,125.000000,1.01,1,1,1,0.0320000,0.2560000,0.0080908
0.850000,125.000000,1.01,1,1,1,0.0640000,0.2560000,0.0113668
0.850000,125.000000,1.01,1,1,1,0.1280000,0.2560000,0.0178084
0.850000,125.000000,1.01,1,1,1,0.2560000,0.2560000,0.0153264
0.850000,125.000000,1.01,1,1,1,0.5120000,0.2560000,0.0073299
0.850000,125.000000,1.01,1,1,1,1.0240000,0.2560000,-0.0420814
0.850000,125.000000,1.01,1,1,1,0.0160000,0.5120000,  0.0015539
0.850000,125.000000,1.01,1,1,1,0.0320000,0.5120000,0.0051934
0.850000,125.000000,1.01,1,1,1,0.0640000,0.5120000,0.0084734
0.850000,125.000000,1.01,1,1,1,0.1280000,0.5120000,0.0145856
0.850000,125.000000,1.01,1,1,1,0.2560000,0.5120000,0.0162487
0.850000,125.000000,1.01,1,1,1,0.5120000,0.5120000,0.0037569
0.850000,125.000000,1.01,1,1,1,1.0240000,0.5120000,-0.0332676
0.850000,125.000000,1.01,1,1,1,0.0160000,1.0240000,  -0.0344574
0.850000,125.000000,1.01,1,1,1,0.0320000,1.0240000,-0.0352074
0.850000,125.000000,1.01,1,1,1,0.0640000,1.0240000,-0.0363833
0.850000,125.000000,1.01,1,1,1,0.1280000,1.0240000,-0.0340002
0.850000,125.000000,1.01,1,1,1,0.2560000,1.0240000,-0.0325971
0.850000,125.000000,1.01,1,1,1,0.5120000,1.0240000,-0.0453167
0.850000,125.000000,1.01,1,1,1,1.0240000,1.0240000,-0.0659401
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.0160000,0.1288288
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.0160000,0.1400982
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.0160000,0.1589423
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.0160000,0.1971630
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.0160000,0.2682890
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.0160000,0.3878431
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.0160000,0.5486854
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.0320000,  0.1214114
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.0320000,0.1287758
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.0320000,0.1515250
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.0320000,0.1895066
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.0320000,0.2609423
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.0320000,0.3765176
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.0320000,0.5412681
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.0640000,  0.1061905
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.0640000,0.1174621
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.0640000,0.1367248
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.0640000,0.1746291
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.0640000,0.2457617
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.0640000,0.3652070
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.0640000,0.5303138
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.1280000,  0.0806129
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.1280000,0.0880524
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.1280000,0.1105293
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.1280000,0.1483564
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.1280000,0.2210219
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.1280000,0.3400982
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.1280000,0.5119647
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.2560000,  0.0239306
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.2560000,0.0351999
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.2560000,0.0538118
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.2560000,0.0958189
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.2560000,0.1680206
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.2560000,0.2874244
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.2560000,0.4678511
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.5120000,  -0.0675818
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.5120000,-0.0562723
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.5120000,-0.0386973
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.5120000,-0.0005193
