nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0625770
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0661841
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0730752
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0759747
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0814604
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0841017
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0745277
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0628371
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0664447
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0694391
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0762818
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0818523
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0845441
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0749160
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0633432
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0630598
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0700565
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0726357
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0779960
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0814969
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0716822
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0645567
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0642643
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0715413
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0742327
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0797912
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0826087
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0768762
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0669943
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0706185
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0738194
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0805825
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0855915
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0851484
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0793249
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, -0.0719094
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,-0.0755336
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0786548
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0853863
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0869463
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0970435
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0839849
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, -0.0700207
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,-0.0736450
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,-0.0767660
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,-0.0836090
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0889639
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0996739
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,-0.0976563
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0429622
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0461675
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0536652
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0643867
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0814604
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.1038891
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.1370277
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0392417
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0423843
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0538987
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0646952
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0779932
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.1004239
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.1335045
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0399936
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0435384
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0507910
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0653342
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0820090
