nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0160000,-0.7852025
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0160000,-0.7888452
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0160000,-0.8000114
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0160000,-0.8180472
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0160000,-0.8432818
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0160000,-0.8852417
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0160000,-0.9457241
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0320000, -0.7856542
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0320000,-0.7892969
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0320000,-0.7965569
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0320000,-0.8145926
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0320000,-0.8437335
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0320000,-0.8856934
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0320000,-0.9422695
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.0640000, -0.7823607
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.0640000,-0.7860034
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.0640000,-0.7971026
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.0640000,-0.8153112
0.850000,125.000000,1.01,1,0,1,1,0,0.2560000,0.0640000,-0.8443462
0.850000,125.000000,1.01,1,0,1,1,0,0.5120000,0.0640000,-0.8823999
0.850000,125.000000,1.01,1,0,1,1,0,1.0240000,0.0640000,-0.9428823
0.850000,125.000000,1.01,1,0,1,1,0,0.0160000,0.1280000, -0.7835206
0.850000,125.000000,1.01,1,0,1,1,0,0.0320000,0.1280000,-0.7875078
0.850000,125.000000,1.01,1,0,1,1,0,0.0640000,0.1280000,-0.7983296
0.850000,125.000000,1.01,1,0,1,1,0,0.1280000,0.1280000,-0.8163653
