nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0390511
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0426163
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0457883
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0526649
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0534794
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0569738
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0433000
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0354318
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0389739
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0422152
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0487550
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0503824
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0535014
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0397616
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0281051
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0318500
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0352854
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0419295
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0473322
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0501584
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0401623
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0215031
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0250623
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0280121
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0350600
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0407875
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0438516
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0335785
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0084010
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0120246
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0192164
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0219888
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0310241
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0341995
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0288250
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0101215
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0065515
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0033741
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0034663
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0088213
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0117188
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0144518
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, 0.0432601
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,0.0394957
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,0.0326063
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,0.0296723
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,0.0243173
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,0.0172868
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.0223239
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0429860
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0461699
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0536658
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0643836
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0814574
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0999798
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.1253059
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0392351
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0423891
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0538567
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0646905
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0779965
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.1004117
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.1256970
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0360840
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0396643
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0508388
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0613434
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0782371
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0968282
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.1264052
