nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0430722
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0464791
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0499027
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0526660
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0580210
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0569742
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,-0.0354633
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0393842
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0428801
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0460253
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0487500
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0541561
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0534937
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,-0.0319451
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0321332
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0357706
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0429939
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0456897
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0510587
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0460861
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,-0.0284435
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0293808
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0290330
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0362506
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0392230
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0447167
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0398971
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,-0.0179535
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0201196
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0237432
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0268667
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0298013
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0350253
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0302463
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0131878
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, -0.0094097
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,-0.0130333
