nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,related_pin NRESTORE,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0160000,-0.7344154
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0160000,-0.7379885
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0160000,-0.7489613
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0160000,-0.7675503
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0160000,-0.7846239
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0160000,-0.7992401
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0160000,-0.7933164
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0320000, -0.7387475
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0320000,-0.7423204
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0320000,-0.7532934
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0320000,-0.7679757
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0320000,-0.7889561
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0320000,-0.8035723
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0320000,-0.7937419
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.0640000, -0.7433342
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.0640000,-0.7508132
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.0640000,-0.7578799
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.0640000,-0.7764685
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.0640000,-0.7935426
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.0640000,-0.8083217
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.0640000,-0.8022345
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.1280000, -0.7562305
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.1280000,-0.7598038
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.1280000,-0.7707887
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.1280000,-0.7893653
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.1280000,-0.8064390
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.1280000,-0.8211518
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.1280000,-0.8151670
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.2560000, -0.7826028
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.2560000,-0.7857292
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.2560000,-0.7967075
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.2560000,-0.8113933
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.2560000,-0.8323733
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.2560000,-0.8431364
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.2560000,-0.8376591
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,0.5120000, -0.8306208
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,0.5120000,-0.8379870
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,0.5120000,-0.8453966
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,0.5120000,-0.8634329
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,0.5120000,-0.8808032
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,0.5120000,-0.8945312
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,0.5120000,-0.8893785
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0160000,1.0240000, -0.9307105
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0320000,1.0240000,-0.9381460
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.0640000,1.0240000,-0.9453135
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.1280000,1.0240000,-0.9637591
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.2560000,1.0240000,-0.9811060
0.850000,125.000000,1.01,1,0,0,1,0,1,0,0.5120000,1.0240000,-0.9982484
0.850000,125.000000,1.01,1,0,0,1,0,1,0,1.0240000,1.0240000,-0.9921876
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,0.0160000,0.0662863
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,0.0160000,0.0705108
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,0.0160000,0.0788923
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.1280000,0.0160000,0.0919958
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.2560000,0.0160000,0.1099467
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.5120000,0.0160000,0.1382992
0.850000,125.000000,1.01,0,1,0,0,1,0,1,1.0240000,0.0160000,0.1676606
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,0.0320000, 0.0700904
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,0.0320000,0.0743091
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,0.0320000,0.0787554
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.1280000,0.0320000,0.0955932
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.2560000,0.0320000,0.1134116
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.5120000,0.0320000,0.1380926
0.850000,125.000000,1.01,0,1,0,0,1,0,1,1.0240000,0.0320000,0.1713602
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,0.0640000, 0.0730318
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,0.0640000,0.0772801
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,0.0640000,0.0856940
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.1280000,0.0640000,0.0988850
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.2560000,0.0640000,0.1208403
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.5120000,0.0640000,0.1450420
0.850000,125.000000,1.01,0,1,0,0,1,0,1,1.0240000,0.0640000,0.1744035
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,0.1280000, 0.0794943
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,0.1280000,0.0837091
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,0.1280000,0.0921308
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.1280000,0.1280000,0.1054966
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.2560000,0.1280000,0.1274407
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.5120000,0.1280000,0.1551007
0.850000,125.000000,1.01,0,1,0,0,1,0,1,1.0240000,0.1280000,0.1886590
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,0.2560000, 0.0886231
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,0.2560000,0.0928543
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,0.2560000,0.1013689
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.1280000,0.2560000,0.1149138
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.2560000,0.2560000,0.1406250
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.5120000,0.2560000,0.1725066
0.850000,125.000000,1.01,0,1,0,0,1,0,1,1.0240000,0.2560000,0.2095644
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,0.5120000, 0.0993393
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,0.5120000,0.0996481
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,0.5120000,0.1122259
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.1280000,0.5120000,0.1297602
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.2560000,0.5120000,0.1592403
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.5120000,0.5120000,0.1992188
0.850000,125.000000,1.01,0,1,0,0,1,0,1,1.0240000,0.5120000,0.2435090
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0160000,1.0240000, 0.1174712
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0320000,1.0240000,0.1217144
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.0640000,1.0240000,0.1262277
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.1280000,1.0240000,0.1470930
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.2560000,1.0240000,0.1850327
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0.5120000,1.0240000,0.2364059
0.850000,125.000000,1.01,0,1,0,0,1,0,1,1.0240000,1.0240000,0.3085938
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0160000,0.0160000,-0.0663134
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0320000,0.0160000,-0.0701881
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0640000,0.0160000,-0.0731566
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.1280000,0.0160000,-0.0758473
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.2560000,0.0160000,-0.0851892
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.5120000,0.0160000,-0.0882742
0.850000,125.000000,1.01,0,0,1,0,1,0,1,1.0240000,0.0160000,-0.0780767
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0160000,0.0320000, -0.0630748
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0320000,0.0320000,-0.0665545
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0640000,0.0320000,-0.0695428
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.1280000,0.0320000,-0.0761544
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.2560000,0.0320000,-0.0818293
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.5120000,0.0320000,-0.0882881
0.850000,125.000000,1.01,0,0,1,0,1,0,1,1.0240000,0.0320000,-0.0747167
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0160000,0.0640000, -0.0634966
0.850000,125.000000,1.01,0,0,1,0,1,0,1,0.0320000,0.0640000,-0.0631956
