nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0.0160000,0.0160000,0.0624834
0.850000,125.000000,1.01,1,1,1,0.0320000,0.0160000,0.0661411
0.850000,125.000000,1.01,1,1,1,0.0640000,0.0160000,0.0692629
0.850000,125.000000,1.01,1,1,1,0.1280000,0.0160000,0.0718062
0.850000,125.000000,1.01,1,1,1,0.2560000,0.0160000,0.0762808
0.850000,125.000000,1.01,1,1,1,0.5120000,0.0160000,0.0638495
0.850000,125.000000,1.01,1,1,1,1.0240000,0.0160000,0.0276524
0.850000,125.000000,1.01,1,1,1,0.0160000,0.0320000, 0.0629715
0.850000,125.000000,1.01,1,1,1,0.0320000,0.0320000,0.0664283
0.850000,125.000000,1.01,1,1,1,0.0640000,0.0320000,0.0695701
0.850000,125.000000,1.01,1,1,1,0.1280000,0.0320000,0.0719849
0.850000,125.000000,1.01,1,1,1,0.2560000,0.0320000,0.0767212
0.850000,125.000000,1.01,1,1,1,0.5120000,0.0320000,0.0646662
0.850000,125.000000,1.01,1,1,1,1.0240000,0.0320000,0.0280803
0.850000,125.000000,1.01,1,1,1,0.0160000,0.0640000, 0.0672017
0.850000,125.000000,1.01,1,1,1,0.0320000,0.0640000,0.0670538
0.850000,125.000000,1.01,1,1,1,0.0640000,0.0640000,0.0701845
0.850000,125.000000,1.01,1,1,1,0.1280000,0.0640000,0.0725993
0.850000,125.000000,1.01,1,1,1,0.2560000,0.0640000,0.0782136
0.850000,125.000000,1.01,1,1,1,0.5120000,0.0640000,0.0695632
0.850000,125.000000,1.01,1,1,1,1.0240000,0.0640000,0.0365368
0.850000,125.000000,1.01,1,1,1,0.0160000,0.1280000, 0.0686707
0.850000,125.000000,1.01,1,1,1,0.0320000,0.1280000,0.0722979
0.850000,125.000000,1.01,1,1,1,0.0640000,0.1280000,0.0754148
0.850000,125.000000,1.01,1,1,1,0.1280000,0.1280000,0.0820312
0.850000,125.000000,1.01,1,1,1,0.2560000,0.1280000,0.0839974
0.850000,125.000000,1.01,1,1,1,0.5120000,0.1280000,0.0792859
0.850000,125.000000,1.01,1,1,1,1.0240000,0.1280000,0.0496268
0.850000,125.000000,1.01,1,1,1,0.0160000,0.2560000, 0.0786793
0.850000,125.000000,1.01,1,1,1,0.0320000,0.2560000,0.0784136
0.850000,125.000000,1.01,1,1,1,0.0640000,0.2560000,0.0816824
0.850000,125.000000,1.01,1,1,1,0.1280000,0.2560000,0.0921400
0.850000,125.000000,1.01,1,1,1,0.2560000,0.2560000,0.0976276
0.850000,125.000000,1.01,1,1,1,0.5120000,0.2560000,0.0933146
0.850000,125.000000,1.01,1,1,1,1.0240000,0.2560000,0.0600958
0.850000,125.000000,1.01,1,1,1,0.0160000,0.5120000, 0.0914068
0.850000,125.000000,1.01,1,1,1,0.0320000,0.5120000,0.0950499
0.850000,125.000000,1.01,1,1,1,0.0640000,0.5120000,0.0983172
0.850000,125.000000,1.01,1,1,1,0.1280000,0.5120000,0.1046738
0.850000,125.000000,1.01,1,1,1,0.2560000,0.5120000,0.1176202
0.850000,125.000000,1.01,1,1,1,0.5120000,0.5120000,0.1211208
0.850000,125.000000,1.01,1,1,1,1.0240000,0.5120000,0.1040994
0.850000,125.000000,1.01,1,1,1,0.0160000,1.0240000, 0.1012371
0.850000,125.000000,1.01,1,1,1,0.0320000,1.0240000,0.1048783
0.850000,125.000000,1.01,1,1,1,0.0640000,1.0240000,0.1081473
0.850000,125.000000,1.01,1,1,1,0.1280000,1.0240000,0.1144849
0.850000,125.000000,1.01,1,1,1,0.2560000,1.0240000,0.1307614
0.850000,125.000000,1.01,1,1,1,0.5120000,1.0240000,0.1446375
0.850000,125.000000,1.01,1,1,1,1.0240000,1.0240000,0.1319346
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.0160000,0.2421068
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.0160000,0.2494698
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.0160000,0.2722218
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.0160000,0.3103938
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.0160000,0.3816582
0.750000,-40.000000,0.99,1,1,1,0.5120000,0.0160000,0.5124874
0.750000,-40.000000,0.99,1,1,1,1.0240000,0.0160000,0.7283152
0.750000,-40.000000,0.99,1,1,1,0.0160000,0.0320000, 0.2308137
0.750000,-40.000000,0.99,1,1,1,0.0320000,0.0320000,0.2420829
0.750000,-40.000000,0.99,1,1,1,0.0640000,0.0320000,0.2609287
0.750000,-40.000000,0.99,1,1,1,0.1280000,0.0320000,0.2991007
0.750000,-40.000000,0.99,1,1,1,0.2560000,0.0320000,0.3701379
