nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type setup_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,0.0781814
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,0.0818169
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,0.0849347
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,0.0879251
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0970848
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.1038885
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0979646
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, 0.0745450
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,0.0781712
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,0.0811863
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,0.0881220
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0935039
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.1000665
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0944855
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, 0.0750965
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,0.0747618
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,0.0818285
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,0.0847099
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0896085
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0969728
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0951313
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, 0.0763296
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,0.0760619
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,0.0832240
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,0.0898438
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0954112
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.1018948
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0924593
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0826197
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0860970
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0891886
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,0.0957487
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.1015625
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.1084698
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1025735
