nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0310920
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0310032
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0380311
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0369763
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0345423
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0140444
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0309420
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0275160
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0312114
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0344355
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0374870
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0347913
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0181571
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0268289
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0321326
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0318809
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0390617
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0418143
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0395702
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0229348
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0220528
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0332843
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0368166
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0402716
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0467248
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0490181
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0360160
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0089723
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0357416
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0391705
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0426738
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0531859
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0540070
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0503190
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,-0.0132644
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, -0.0367503
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,-0.0403698
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0436476
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0541275
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0664011
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0708328
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0330418
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, -0.0270489
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,-0.0306687
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,-0.0339455
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,-0.0484412
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0577139
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0692984
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.0039062
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0272924
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0309916
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0380260
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0525889
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0652713
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0757081
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0823393
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0312189
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0383332
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0488895
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0656030
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0763001
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0864523
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0241234
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0279388
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0390619
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0534961
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0707676
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0815241
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.0951325
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, -0.0254583
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,-0.0289996
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0402581
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0549037
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0763020
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.0948897
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.1121186
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.2560000, -0.0279159
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.2560000,-0.0353898
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.2560000,-0.0426000
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.2560000,-0.0649006
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.2560000,-0.0936299
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.2560000,-0.1166540
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.2560000,-0.1420136
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.5120000, -0.0328310
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.5120000,-0.0403581
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.5120000,-0.0514773
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.5120000,-0.0736578
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.5120000,-0.1097774
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.5120000,-0.1398789
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.5120000,-0.1698574
0.850000,125.000000,1.01,1,1,0,1,0.0160000,1.0240000, -0.0153175
0.850000,125.000000,1.01,1,1,0,1,0.0320000,1.0240000,-0.0189388
0.850000,125.000000,1.01,1,1,0,1,0.0640000,1.0240000,-0.0261290
0.850000,125.000000,1.01,1,1,0,1,0.1280000,1.0240000,-0.0600560
0.850000,125.000000,1.01,1,1,0,1,0.2560000,1.0240000,-0.0889639
0.850000,125.000000,1.01,1,1,0,1,0.5120000,1.0240000,-0.1677957
0.850000,125.000000,1.01,1,1,0,1,1.0240000,1.0240000,-0.2000802
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0160000,-0.0936182
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0160000,-0.1009587
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0160000,-0.1124335
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0160000,-0.1381587
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0160000,-0.1902170
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0160000,-0.2550148
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0160000,-0.3221109
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0320000, -0.0823284
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0320000,-0.0897573
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0320000,-0.1048830
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0320000,-0.1307846
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0320000,-0.1828399
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0320000,-0.2515375
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0320000,-0.3108210
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.0640000, -0.0632636
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.0640000,-0.0706144
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.0640000,-0.0858239
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.0640000,-0.1128798
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.0640000,-0.1637925
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.0640000,-0.2284749
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.0640000,-0.2877581
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.1280000, -0.0332731
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.1280000,-0.0407446
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.1280000,-0.0559621
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.1280000,-0.0820312
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.1280000,-0.1378158
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.1280000,-0.2026693
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.1280000,-0.2697654
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.2560000, 0.0185128
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.2560000,0.0036093
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.2560000,-0.0036136
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.2560000,-0.0328861
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.2560000,-0.0975157
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.2560000,-0.1638243
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.2560000,-0.2406404
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,0.5120000, 0.0675032
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,0.5120000,0.0559744
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,0.5120000,0.0461997
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,0.5120000,0.0212637
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,0.5120000,-0.0399043
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,0.5120000,-0.1294087
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,0.5120000,-0.2382046
0.750000,-40.000000,0.99,1,1,1,0,0.0160000,1.0240000, 0.1111617
0.750000,-40.000000,0.99,1,1,1,0,0.0320000,1.0240000,0.1075331
0.750000,-40.000000,0.99,1,1,1,0,0.0640000,1.0240000,0.0921091
0.750000,-40.000000,0.99,1,1,1,0,0.1280000,1.0240000,0.0690514
0.750000,-40.000000,0.99,1,1,1,0,0.2560000,1.0240000,0.0014974
0.750000,-40.000000,0.99,1,1,1,0,0.5120000,1.0240000,-0.1030528
0.750000,-40.000000,0.99,1,1,1,0,1.0240000,1.0240000,-0.2661905
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0160000,-0.0820330
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0160000,-0.0892623
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0160000,-0.1045433
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0160000,-0.1381586
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0160000,-0.1941224
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0160000,-0.2862623
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0160000,-0.4275742
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0320000, -0.0785227
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0320000,-0.0856196
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0320000,-0.1010939
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0320000,-0.1307540
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0320000,-0.1907091
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0320000,-0.2827228
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0320000,-0.4201650
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.0640000, -0.0678944
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.0640000,-0.0746199
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.0640000,-0.0897571
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.0640000,-0.1197865
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.0640000,-0.1835064
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.0640000,-0.2714415
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.0640000,-0.4127534
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.1280000, -0.0530590
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.1280000,-0.0604721
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.1280000,-0.0754463
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.1280000,-0.1097416
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.1280000,-0.1687991
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.1280000,-0.2651678
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.1280000,-0.4142922
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.2560000, -0.0396381
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.2560000,-0.0432423
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.2560000,-0.0620996
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.2560000,-0.0958077
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.2560000,-0.1562500
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.2560000,-0.2600565
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.2560000,-0.4092412
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,0.5120000, -0.0093948
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,0.5120000,-0.0169073
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,0.5120000,-0.0318130
0.750000,-40.000000,0.99,1,1,0,1,0.1280000,0.5120000,-0.0622191
0.750000,-40.000000,0.99,1,1,0,1,0.2560000,0.5120000,-0.1216005
0.750000,-40.000000,0.99,1,1,0,1,0.5120000,0.5120000,-0.2516945
0.750000,-40.000000,0.99,1,1,0,1,1.0240000,0.5120000,-0.4150514
0.750000,-40.000000,0.99,1,1,0,1,0.0160000,1.0240000, 0.0570602
0.750000,-40.000000,0.99,1,1,0,1,0.0320000,1.0240000,0.0495586
0.750000,-40.000000,0.99,1,1,0,1,0.0640000,1.0240000,0.0402822
